
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5929 deg>, 'src_raj': <Angle 2.30415333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.207083333335, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan2/spliced_blc0x1x2x_guppi_59524_17892_OFF_HD13908_0035.rawspec.0000.h5, max_drift=10.0, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 54102.449219, Drift Rate -0.000000, index 558329
Top hit found! SNR 936.748962, Drift Rate -0.000000, index 561295
Top hit found! SNR 10.249275, Drift Rate -0.000000, index 657270
Top hit found! SNR 32.690998, Drift Rate -0.000000, index 690251
Top hit found! SNR 32.136787, Drift Rate -0.000000, index 691894
Top hit found! SNR 70.459740, Drift Rate -0.000000, index 723233
Top hit found! SNR 22.820868, Drift Rate -0.038266, index 748359
Top hit found! SNR 21.720369, Drift Rate -0.000000, index 756215
Top hit found! SNR 11.041621, Drift Rate -0.000000, index 757877
Top hit found! SNR 26.091238, Drift Rate -0.000000, index 789196
Top hit found! SNR 116.844170, Drift Rate 0.009566, index 822174
Top hit found! SNR 64.450592, Drift Rate -0.000000, index 825288
Top hit found! SNR 52.133240, Drift Rate -0.000000, index 855155
Top hit found! SNR 22.206104, Drift Rate -0.000000, index 858288
Top hit found! SNR 47.147091, Drift Rate -0.000000, index 888137
Top hit found! SNR 18.206003, Drift Rate -0.000000, index 891288
Top hit found! SNR 67.359497, Drift Rate -0.000000, index 921119
Top hit found! SNR 17.797976, Drift Rate 0.009566, index 924289
Top hit found! SNR 11.097470, Drift Rate -0.000000, index 947290
Top hit found! SNR 138.733002, Drift Rate -0.000000, index 954100
Top hit found! SNR 39.855522, Drift Rate -0.000000, index 957288
Top hit found! SNR 52.683815, Drift Rate -0.000000, index 987077
Top hit found! SNR 171.549164, Drift Rate -0.000000, index 37446
Top hit found! SNR 34.822273, Drift Rate -0.000000, index 39209
Top hit found! SNR 61.025352, Drift Rate -0.000000, index 40709
Top hit found! SNR 15.864594, Drift Rate -0.000000, index 70428
Top hit found! SNR 10.122972, Drift Rate -0.000000, index 73709
Top hit found! SNR 63.542282, Drift Rate -0.000000, index 103405
Top hit found! SNR 58.918583, Drift Rate -0.000000, index 136387
Top hit found! SNR 63964.753906, Drift Rate -0.000000, index 169368
Top hit found! SNR 3440.375488, Drift Rate -0.000000, index 172705
Top hit found! SNR 57.347511, Drift Rate -0.000000, index 202350
Top hit found! SNR 49.982010, Drift Rate -0.000000, index 235332
Top hit found! SNR 108.889328, Drift Rate -0.000000, index 268309
Top hit found! SNR 14.350153, Drift Rate -0.000000, index 270142
Top hit found! SNR 26.554850, Drift Rate -0.000000, index 271701
Top hit found! SNR 162.869675, Drift Rate -0.000000, index 301290
Top hit found! SNR 34.750774, Drift Rate -0.000000, index 303133
Top hit found! SNR 41.701637, Drift Rate -0.000000, index 304701
Top hit found! SNR 39.053822, Drift Rate -0.000000, index 334272
Top hit found! SNR 23.702259, Drift Rate -0.000000, index 336125
Top hit found! SNR 10.520586, Drift Rate 0.009566, index 337702
Top hit found! SNR 230.768372, Drift Rate -0.000000, index 433213
Top hit found! SNR 29.930477, Drift Rate 0.009566, index 435096
Top hit found! SNR 26.338322, Drift Rate -0.000000, index 436698
Top hit found! SNR 68.599091, Drift Rate -0.000000, index 466194
Top hit found! SNR 20.501663, Drift Rate -0.000000, index 468087
Top hit found! SNR 94.866440, Drift Rate -0.000000, index 499176
