,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
825,826,-0.057399,11.757184,1626.076514,488514,1626.076581,1626.076452,213,157351,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.160880,292.057776,ON_L_825,on_table_1,2,0,0.0
32285,763,0.066965,16.101521,1626.076506,488517,1626.076573,1626.076444,213,307468,spliced_blc0x1x2x_guppi_59524_13034_ON_L_0017.rawspec.0000.h5,ON_L,59524.150856481479,2h39m23.16s,60d52m05.52s,18.253611,-2.793968,0.162867,292.057776,ON_L_825,on_table_2,,0,699.9999995576218
67253,908,-0.124364,15.765983,1626.076447,488538,1626.076517,1626.076383,213,341458,spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5,ON_L,59524.158935185187,2h39m23.28s,60d52m06.6s,18.253611,-2.793968,0.164531,292.057776,ON_L_825,on_table_3,,0,1397.999999905005
