
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5929 deg>, 'src_raj': <Angle 2.30415333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.207083333335, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan/spliced_blc0x1x2x_guppi_59524_17892_OFF_HD13908_0035.rawspec.0000.h5, max_drift=31.515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 67.359497, Drift Rate -0.000000, index 921119
Top hit found! SNR 11.097470, Drift Rate -0.000000, index 947290
Top hit found! SNR 138.733002, Drift Rate -0.000000, index 954100
Top hit found! SNR 52.683815, Drift Rate -0.000000, index 987077
Top hit found! SNR 171.549164, Drift Rate -0.000000, index 37446
Top hit found! SNR 15.864594, Drift Rate -0.000000, index 70428
Top hit found! SNR 63.542282, Drift Rate -0.000000, index 103405
Top hit found! SNR 58.918583, Drift Rate -0.000000, index 136387
Top hit found! SNR 63964.753906, Drift Rate -0.000000, index 169368
Top hit found! SNR 57.347511, Drift Rate -0.000000, index 202350
Top hit found! SNR 49.982010, Drift Rate -0.000000, index 235332
Top hit found! SNR 108.889328, Drift Rate -0.000000, index 268309
Top hit found! SNR 162.869675, Drift Rate -0.000000, index 301290
Top hit found! SNR 39.053822, Drift Rate -0.000000, index 334272
Top hit found! SNR 230.768372, Drift Rate -0.000000, index 433213
Top hit found! SNR 68.599091, Drift Rate -0.000000, index 466194
Top hit found! SNR 94.866440, Drift Rate -0.000000, index 499176
Top hit found! SNR 92.456482, Drift Rate -0.000000, index 532158
Top hit found! SNR 218.825180, Drift Rate -0.000000, index 565139
Top hit found! SNR 18.917280, Drift Rate -0.000000, index 598116
Top hit found! SNR 36.922028, Drift Rate -0.000000, index 631098
Top hit found! SNR 16.800354, Drift Rate -0.000000, index 664080
Top hit found! SNR 33.076778, Drift Rate -0.000000, index 697062
Top hit found! SNR 15.052300, Drift Rate -0.000000, index 730043
Top hit found! SNR 4876.108887, Drift Rate 0.009566, index 828984
Top hit found! SNR 10.005422, Drift Rate -0.000000, index 861965
Top hit found! SNR 13.827552, Drift Rate -0.000000, index 894947
Top hit found! SNR 10.038584, Drift Rate -0.000000, index 927924
Top hit found! SNR 1979.101440, Drift Rate -0.000000, index 51062
Top hit found! SNR 46.445900, Drift Rate -0.000000, index 110215
Top hit found! SNR 12.482665, Drift Rate -0.000000, index 143197
Top hit found! SNR 23.803326, Drift Rate -0.000000, index 178359
Top hit found! SNR 36.226902, Drift Rate -0.000000, index 275119
Top hit found! SNR 35.987343, Drift Rate -0.000000, index 310323
Top hit found! SNR 2193.276611, Drift Rate -0.000000, index 342535
Top hit found! SNR 10.121898, Drift Rate -0.000000, index 374059
Top hit found! SNR 14600.479492, Drift Rate -0.000000, index 440023
Top hit found! SNR 15.534552, Drift Rate -0.000000, index 538963
Top hit found! SNR 33.115093, Drift Rate -0.000000, index 571945
Top hit found! SNR 15.045954, Drift Rate -0.000000, index 604926
Top hit found! SNR 29.594168, Drift Rate -0.000000, index 703867
Top hit found! SNR 11.795469, Drift Rate 0.009566, index 835794
Top hit found! SNR 15.641962, Drift Rate -0.000000, index 868771
Top hit found! SNR 27224.763672, Drift Rate -0.000000, index 51062
Top hit found! SNR 21.194702, Drift Rate -0.000000, index 215966
Top hit found! SNR 12.101257, Drift Rate -0.000000, index 281929
Top hit found! SNR 48.258686, Drift Rate -0.000000, index 314906
Top hit found! SNR 28.957155, Drift Rate -0.000000, index 446833
Top hit found! SNR 18.159437, Drift Rate -0.000000, index 479810
Top hit found! SNR 13.529896, Drift Rate -0.000000, index 512791
Top hit found! SNR 38.011894, Drift Rate -0.000000, index 545773
Top hit found! SNR 28.244173, Drift Rate -0.000000, index 578755
Top hit found! SNR 16.928381, Drift Rate -0.000000, index 611736
Top hit found! SNR 10.974925, Drift Rate -0.000000, index 644714
Top hit found! SNR 3388.027832, Drift Rate -0.000000, index 710677
Top hit found! SNR 15.322045, Drift Rate -0.000000, index 735131
Top hit found! SNR 40.511452, Drift Rate -0.000000, index 842599
Top hit found! SNR 17.861622, Drift Rate -0.000000, index 875581
Top hit found! SNR 14.126484, Drift Rate -0.000000, index 941544
Top hit found! SNR 44.181530, Drift Rate -0.000000, index 974521
Top hit found! SNR 30.981070, Drift Rate -0.000000, index 57872
Top hit found! SNR 29.477211, Drift Rate -0.000000, index 156812
Top hit found! SNR 4108.091797, Drift Rate -0.000000, index 321716
Top hit found! SNR 10.868602, Drift Rate -0.000000, index 486620
Top hit found! SNR 53.384480, Drift Rate -0.000000, index 585560
Top hit found! SNR 26.234205, Drift Rate -0.000000, index 618542
Top hit found! SNR 34.689037, Drift Rate -0.000000, index 651524
Top hit found! SNR 65.264984, Drift Rate -0.000000, index 717487
Top hit found! SNR 11.209757, Drift Rate -0.000000, index 816427
Top hit found! SNR 28.336662, Drift Rate -0.000000, index 849409
Top hit found! SNR 10.713930, Drift Rate -0.000000, index 854896
Top hit found! SNR 2218.727295, Drift Rate -0.000000, index 981331
Top hit found! SNR 261.711456, Drift Rate -0.000000, index 986892
Top hit found! SNR 16.206261, Drift Rate -0.000000, index 97659
Top hit found! SNR 38.834068, Drift Rate -0.000000, index 199684
Top hit found! SNR 22.215136, Drift Rate -0.000000, index 262563
Top hit found! SNR 32.130108, Drift Rate -0.000000, index 331651
Top hit found! SNR 17.040398, Drift Rate -0.000000, index 427467
Top hit found! SNR 26.132021, Drift Rate -0.000000, index 463613
Top hit found! SNR 1197.582153, Drift Rate -0.000000, index 592370
Top hit found! SNR 12.945363, Drift Rate -0.000000, index 727537
Top hit found! SNR 22.467548, Drift Rate -0.000000, index 757274
Top hit found! SNR 27.253311, Drift Rate -0.000000, index 775946
Top hit found! SNR 102.576904, Drift Rate -0.000000, index 856215
Top hit found! SNR 18.563116, Drift Rate -0.000000, index 862295
Top hit found! SNR 22.084101, Drift Rate -0.000000, index 889196
Top hit found! SNR 62.002346, Drift Rate -0.000000, index 922178
Top hit found! SNR 17.959948, Drift Rate -0.000000, index 955160
Top hit found! SNR 56.340958, Drift Rate -0.000000, index 981331
Top hit found! SNR 54.254089, Drift Rate -0.000000, index 988141
Top hit found! SNR 17.839663, Drift Rate -0.000000, index 71488
Top hit found! SNR 10.828401, Drift Rate -0.000000, index 77716
Top hit found! SNR 1066.609009, Drift Rate -0.000000, index 203410
Top hit found! SNR 485.984406, Drift Rate -0.000000, index 209712
Top hit found! SNR 17.021309, Drift Rate 0.009566, index 335332
Top hit found! SNR 13.277455, Drift Rate -0.000000, index 470834
Top hit found! SNR 13.199585, Drift Rate -0.000000, index 602801
Top hit found! SNR 414.885071, Drift Rate -0.000000, index 863025
Top hit found! SNR 12.045928, Drift Rate -0.000000, index 144256
Top hit found! SNR 79.771614, Drift Rate -0.000000, index 474064
Top hit found! SNR 10.798165, Drift Rate -0.000000, index 737908
Top hit found! SNR 11.029048, Drift Rate -0.000000, index 869835
Top hit found! SNR 625.440918, Drift Rate -0.000000, index 85103
Top hit found! SNR 20.641890, Drift Rate -0.000000, index 221071
Top hit found! SNR 17.690207, Drift Rate -0.000000, index 250007
Top hit found! SNR 78.645645, Drift Rate -0.000000, index 348947
Top hit found! SNR 31.764067, Drift Rate -0.000000, index 381929
Top hit found! SNR 47.625275, Drift Rate -0.000000, index 414911
Top hit found! SNR 24.119484, Drift Rate -0.000000, index 447892
Top hit found! SNR 88.172798, Drift Rate -0.000000, index 480874
Top hit found! SNR 29.916658, Drift Rate -0.000000, index 579814
Top hit found! SNR 116.492569, Drift Rate -0.000000, index 612796
Top hit found! SNR 18.679810, Drift Rate -0.000000, index 645778
Top hit found! SNR 1022.214844, Drift Rate -0.000000, index 744718
Top hit found! SNR 51.400509, Drift Rate -0.000000, index 876640
Top hit found! SNR 31.324102, Drift Rate -0.000000, index 909622
Top hit found! SNR 19.342022, Drift Rate -0.000000, index 1012849
Top hit found! SNR 26.961016, Drift Rate -0.000000, index 160782
Top hit found! SNR 19.665321, Drift Rate -0.000000, index 228202
Top hit found! SNR 322.615448, Drift Rate -0.000000, index 355757
Top hit found! SNR 12.532475, Drift Rate 0.066965, index 520379
Top hit found! SNR 64.393486, Drift Rate 0.009566, index 1015373
Top hit found! SNR 12.145979, Drift Rate -0.000000, index 1020104
Top hit found! SNR 14.095045, Drift Rate -0.000000, index 98718
Top hit found! SNR 11.149276, Drift Rate -0.000000, index 131700
Top hit found! SNR 20.942715, Drift Rate -0.000000, index 230641
Top hit found! SNR 16.585209, Drift Rate -0.000000, index 362567
Top hit found! SNR 13.187790, Drift Rate -0.000000, index 626412
Top hit found! SNR 74.738068, Drift Rate -0.000000, index 631219
Top hit found! SNR 20.632124, Drift Rate -0.000000, index 890256
Top hit found! SNR 23.925808, Drift Rate -0.000000, index 237451
Top hit found! SNR 40.995064, Drift Rate -0.000000, index 242594
Top hit found! SNR 18.757631, Drift Rate -0.000000, index 897066
Top hit found! SNR 10.386435, Drift Rate -0.000000, index 112334
Top hit found! SNR 20.398586, Drift Rate -0.000000, index 117766
Top hit found! SNR 12.062369, Drift Rate 0.009566, index 183750
Top hit found! SNR 10.113901, Drift Rate -0.000000, index 244261
Top hit found! SNR 18.840281, Drift Rate -0.000000, index 249733
Top hit found! SNR 13.655519, Drift Rate -0.000000, index 348705
Top hit found! SNR 17.542583, Drift Rate -0.000000, index 376183
Top hit found! SNR 27.876240, Drift Rate -0.000000, index 381697
Top hit found! SNR 659.808411, Drift Rate -0.000000, index 508105
Top hit found! SNR 700.653198, Drift Rate -0.000000, index 513660
Top hit found! SNR 25.745235, Drift Rate -0.000000, index 594193
Top hit found! SNR 13.154227, Drift Rate -0.000000, index 645623
Top hit found! SNR 133.086914, Drift Rate -0.000000, index 119144
Top hit found! SNR 10.236909, Drift Rate -0.000000, index 514915
Top hit found! SNR 13.564708, Drift Rate 0.009566, index 646838
Top hit found! SNR 557.205139, Drift Rate -0.000000, index 778759
Top hit found! SNR 96.552101, Drift Rate -0.000000, index 784726
Top hit found! SNR 10.713310, Drift Rate -0.000000, index 910681
Top hit found! SNR 15.483681, Drift Rate -0.000000, index 838
Top hit found! SNR 703.771484, Drift Rate 0.009566, index 389799
