,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
0,1,-0.047832,366.038696,3150.900373,202032,3150.913233,3150.887518,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
1,2,-0.019133,3138.960693,3150.600248,309451,3150.613108,3150.587393,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
2,3,-0.038266,314.850555,3150.488151,349572,3150.501011,3150.475296,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
3,4,-0.009566,240907.34375,3150.300122,416870,3150.312983,3150.287267,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
4,5,-0.057399,661.882507,3150.244081,436928,3150.256942,3150.231226,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
5,6,-0.19133,24.455801,3150.188045,456984,3150.200906,3150.17519,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
6,7,0.105231,18.671825,3150.168149,464105,3150.18101,3150.155294,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
7,8,-0.248729,29.032917,3150.132012,477039,3150.144873,3150.119157,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
8,9,-0.019133,41.01516,3150.112108,484163,3150.124969,3150.099253,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
12,13,0.009566,97097.109375,3149.999997,524289,3150.012858,3149.987142,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
16,17,0.019133,41.015171,3149.887892,564413,3149.900753,3149.875037,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
17,18,0.248729,29.032921,3149.867988,571537,3149.880848,3149.855133,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
18,19,-0.105231,18.671822,3149.831851,584471,3149.844711,3149.818996,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
19,20,0.19133,24.455797,3149.811955,591592,3149.824815,3149.7991,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
20,21,0.057399,661.882385,3149.755919,611648,3149.76878,3149.743064,0,71226207,spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5,OFF_HD13908,59524.191296296296,2h18m14.664s,65d35m36.6s,18.253611,-2.793968,31.515000,292.057776,,on_table_1,,,0.0
