
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5929 deg>, 'src_raj': <Angle 2.30415333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.207083333335, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_17892_OFF_HD13908_0035.rawspec.0000.h5, max_drift=0.20252184167554832, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 30.587292, Drift Rate -0.000000, index 955823
Top hit found! SNR 31.052870, Drift Rate -0.000000, index 955869
Top hit found! SNR 39.855522, Drift Rate -0.000000, index 957288
Top hit found! SNR 52.683815, Drift Rate -0.000000, index 987077
Top hit found! SNR 171.549164, Drift Rate -0.000000, index 37446
Top hit found! SNR 34.822273, Drift Rate -0.000000, index 39209
Top hit found! SNR 21.131859, Drift Rate -0.000000, index 39257
Top hit found! SNR 61.025352, Drift Rate -0.000000, index 40709
Top hit found! SNR 15.864594, Drift Rate -0.000000, index 70428
Top hit found! SNR 10.122972, Drift Rate -0.000000, index 73709
Top hit found! SNR 63.542282, Drift Rate -0.000000, index 103405
Top hit found! SNR 58.918583, Drift Rate -0.000000, index 136387
Top hit found! SNR 63964.753906, Drift Rate -0.000000, index 169368
Top hit found! SNR 795.138977, Drift Rate -0.000000, index 171171
Top hit found! SNR 929.329895, Drift Rate -0.000000, index 171220
Top hit found! SNR 3440.375488, Drift Rate -0.000000, index 172705
Top hit found! SNR 57.347511, Drift Rate -0.000000, index 202350
Top hit found! SNR 49.982010, Drift Rate -0.000000, index 235332
Top hit found! SNR 108.889328, Drift Rate -0.000000, index 268309
Top hit found! SNR 14.350153, Drift Rate -0.000000, index 270142
Top hit found! SNR 26.554850, Drift Rate -0.000000, index 271701
Top hit found! SNR 162.869675, Drift Rate -0.000000, index 301290
Top hit found! SNR 34.750774, Drift Rate -0.000000, index 303133
Top hit found! SNR 12.884615, Drift Rate -0.000000, index 303183
Top hit found! SNR 41.701637, Drift Rate -0.000000, index 304701
Top hit found! SNR 39.053822, Drift Rate -0.000000, index 334272
Top hit found! SNR 23.702259, Drift Rate -0.000000, index 336125
Top hit found! SNR 10.520586, Drift Rate 0.009566, index 337702
Top hit found! SNR 230.768372, Drift Rate -0.000000, index 433213
Top hit found! SNR 29.930477, Drift Rate 0.009566, index 435096
Top hit found! SNR 11.215948, Drift Rate -0.000000, index 435147
Top hit found! SNR 26.338322, Drift Rate -0.000000, index 436698
