
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.23523575033112856, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 22.862240, Drift Rate -0.000000, index 558722
Top hit found! SNR 23.207712, Drift Rate 0.009566, index 558808
Top hit found! SNR 28.118938, Drift Rate 0.009566, index 558937
Top hit found! SNR 27.252174, Drift Rate 0.009566, index 558980
Top hit found! SNR 21.318714, Drift Rate 0.009566, index 559208
Top hit found! SNR 10.248981, Drift Rate -0.220029, index 562882
Top hit found! SNR 39.276684, Drift Rate 0.086098, index 564412
Top hit found! SNR 28.967525, Drift Rate -0.114798, index 571523
Top hit found! SNR 18.850620, Drift Rate -0.000000, index 572701
Top hit found! SNR 15.583932, Drift Rate 0.066965, index 577118
Top hit found! SNR 14.547739, Drift Rate -0.038266, index 578874
Top hit found! SNR 18.431047, Drift Rate -0.047832, index 584470
Top hit found! SNR 10.228162, Drift Rate -0.000000, index 589824
Top hit found! SNR 24.745052, Drift Rate -0.124364, index 591584
Top hit found! SNR 669.667542, Drift Rate -0.028699, index 611644
Top hit found! SNR 20.731949, Drift Rate -0.000000, index 616682
Top hit found! SNR 380.795807, Drift Rate -0.038266, index 624532
Top hit found! SNR 5278.073730, Drift Rate 0.028699, index 625849
Top hit found! SNR 26341.037109, Drift Rate -0.028699, index 630942
Top hit found! SNR 17.104952, Drift Rate -0.038266, index 631141
Top hit found! SNR 14.681329, Drift Rate -0.009566, index 631467
Top hit found! SNR 319955.906250, Drift Rate 0.057399, index 631708
Top hit found! SNR 14.182978, Drift Rate -0.000000, index 633069
