,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
579,580,0.200896,13.274007,2440.989401,533674,2440.989499,2440.989309,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
580,581,-0.229596,14.750215,2440.986719,534634,2440.986816,2440.986626,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
584,585,0.066965,11.098098,2440.982584,536114,2440.982681,2440.982491,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
586,587,0.095665,10.754517,2440.981424,536529,2440.981522,2440.981332,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
587,588,-0.019133,45.646881,2440.978767,537480,2440.978865,2440.978675,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
589,590,0.220029,18.115305,2440.976286,538368,2440.976384,2440.976194,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
591,592,-0.19133,46.16843,2440.965814,542116,2440.965912,2440.965722,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
592,593,0.086098,44.264854,2440.960383,544060,2440.96048,2440.96029,242,68568,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
596,597,0.220029,32.957367,2418.913368,46386,2418.913466,2418.913276,250,4462,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
597,598,0.220029,10.407808,2418.911074,47207,2418.911172,2418.910982,250,4462,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
598,599,-0.124364,12.112344,2418.909048,47932,2418.909146,2418.908956,250,4462,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
600,601,0.172197,28.167658,2416.017753,34191,2416.01785,2416.01766,251,37720,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
605,606,-0.210463,17.330006,2415.988067,44816,2415.988165,2415.987975,251,37720,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
606,607,-0.133931,21.121969,2415.987184,45132,2415.987282,2415.987092,251,37720,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
609,610,0.220029,35.17741,2415.9818,47059,2415.981898,2415.981708,251,37720,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
622,623,0.009566,10.46996,2337.532671,862120,2337.532769,2337.532579,277,285,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
632,633,0.229596,83.967308,2264.997818,608955,2264.997916,2264.997726,302,3065,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
633,634,0.028699,14.150419,2262.521734,446604,2262.521832,2262.521642,303,4,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
635,636,-0.220029,11.033007,2247.535833,567387,2247.535931,2247.535741,308,4,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
636,637,0.229596,191.604584,2242.510689,268804,2242.510787,2242.510597,310,9750,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
637,638,0.229596,59.312202,2242.510558,268851,2242.510656,2242.510466,310,9750,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
638,639,0.229596,54.102005,2242.510396,268909,2242.510493,2242.510303,310,9750,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
641,642,-0.133931,20.477406,2242.484113,278316,2242.484211,2242.484021,310,9750,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
642,643,0.229596,24.356668,2242.483987,278361,2242.484085,2242.483895,310,9750,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
643,644,0.229596,60.661942,2242.483655,278480,2242.483752,2242.483562,310,9750,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
652,653,-0.028699,14.607626,2234.571303,1013269,2234.571401,2234.571211,312,238,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
653,654,-0.220029,10.184923,2226.57416,729830,2226.574258,2226.574068,315,2150,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
654,655,-0.133931,11.571246,2226.550098,738442,2226.550196,2226.550006,315,2150,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
660,661,-0.229596,66.362564,2226.386419,797025,2226.386517,2226.386327,315,2150,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
661,662,-0.172197,12.791972,2226.374908,801145,2226.375006,2226.374816,315,2150,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
662,663,-0.143497,10.417336,2226.349857,810111,2226.349955,2226.349765,315,2150,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
663,664,0.124364,10.721379,2226.32505,818990,2226.325147,2226.324957,315,2150,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
664,665,0.229596,10.472648,2219.324423,178884,2219.32452,2219.32433,318,13344,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
665,666,-0.066965,36.175449,2219.25903,202289,2219.259128,2219.258938,318,13344,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
666,667,0.210463,33.172226,2219.258655,202423,2219.258753,2219.258563,318,13344,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
667,668,-0.229596,22.11095,2219.258393,202517,2219.258491,2219.258301,318,13344,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
668,669,0.181763,12.6264,2219.257624,202792,2219.257722,2219.257532,318,13344,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
669,670,-0.143497,11.398688,2219.2573,202908,2219.257398,2219.257208,318,13344,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
670,671,-0.086098,11.803508,2219.193411,225775,2219.193508,2219.193318,318,13344,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
672,673,0.114798,10.811709,2209.207938,653987,2209.208035,2209.207845,321,207,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
673,674,-0.095665,10.888774,2209.207672,654082,2209.20777,2209.20758,321,207,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
888,889,0.009566,10.915725,2195.979825,145633,2195.979923,2195.979733,326,604966,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
889,890,0.009566,14.877393,2194.02096,846738,2194.021058,2194.020868,326,604966,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,,on_table_1,,0,0.0
