,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
561,562,0.200896,32.933624,2465.99359,1021510,2465.993688,2465.993498,233,5534,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,ON_S_561,on_table_1,2,0,0.0
9242,561,0.057399,53.675346,2465.993775,1021444,2465.993872,2465.993682,233,7619,spliced_blc0x1x2x_guppi_59524_16875_ON_S_0032.rawspec.0000.h5,ON_S,59524.195312500000,2h39m22.896s,60d52m06.96s,18.253611,-2.793968,0.235230,292.057776,ON_S_561,on_table_2,,0,689.9999997345731
20398,554,0.172197,15.044506,2465.993917,1021393,2465.994015,2465.993825,233,6738,spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5,ON_S,59524.203171296300,2h39m22.92s,60d52m06.96s,18.253611,-2.793968,0.235236,292.057776,ON_S_561,on_table_3,,0,1369.0000000409782
564,565,0.229596,18.075794,2463.057343,1023858,2463.05744,2463.05725,234,1103,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.234937,292.057776,ON_S_564,on_table_1,2,0,0.0
9247,566,0.220029,19.911121,2463.057516,1023796,2463.057614,2463.057424,234,1543,spliced_blc0x1x2x_guppi_59524_16875_ON_S_0032.rawspec.0000.h5,ON_S,59524.195312500000,2h39m22.896s,60d52m06.96s,18.253611,-2.793968,0.235230,292.057776,ON_S_564,on_table_2,,0,689.9999997345731
20404,560,0.220029,13.965859,2463.057683,1023736,2463.057781,2463.057591,234,187,spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5,ON_S,59524.203171296300,2h39m22.92s,60d52m06.96s,18.253611,-2.793968,0.235236,292.057776,ON_S_564,on_table_3,,0,1369.0000000409782
