,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
91,92,-0.105231,11.56424,1626.078696,487733,1626.078757,1626.07864,213,148062,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,ON_L_91,on_table_1,2,0,0.0
4312,106,0.143497,16.556725,1626.078671,487742,1626.078732,1626.078615,213,273348,spliced_blc0x1x2x_guppi_59524_13034_ON_L_0017.rawspec.0000.h5,ON_L,59524.150856481479,2h39m23.16s,60d52m05.52s,18.253611,-2.793968,0.150339,292.057776,ON_L_91,on_table_2,,0,699.9999995576218
5911,105,-0.133931,10.06107,1626.078609,487764,1626.078674,1626.078551,213,303465,spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5,ON_L,59524.158935185187,2h39m23.28s,60d52m06.6s,18.253611,-2.793968,0.151874,292.057776,ON_L_91,on_table_3,,0,1397.999999905005
94,95,0.133931,11.555565,1626.077335,488220,1626.077397,1626.077279,213,148062,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,ON_L_94,on_table_1,2,0,0.0
4316,110,0.133931,16.198498,1626.077486,488166,1626.077548,1626.07743,213,273348,spliced_blc0x1x2x_guppi_59524_13034_ON_L_0017.rawspec.0000.h5,ON_L,59524.150856481479,2h39m23.16s,60d52m05.52s,18.253611,-2.793968,0.150339,292.057776,ON_L_94,on_table_2,,0,699.9999995576218
4317,111,-0.133931,16.068108,1626.077377,488205,1626.077439,1626.077321,213,273348,spliced_blc0x1x2x_guppi_59524_13034_ON_L_0017.rawspec.0000.h5,ON_L,59524.150856481479,2h39m23.16s,60d52m05.52s,18.253611,-2.793968,0.150339,292.057776,ON_L_94,on_table_2,,0,699.9999995576218
1352,1353,-0.114798,25.919643,1544.102987,467854,1544.103049,1544.102931,241,1026601,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,ON_L_1352,on_table_1,2,0,0.0
5378,1172,-0.124364,13.240076,1544.102887,467890,1544.102948,1544.102831,241,152448,spliced_blc0x1x2x_guppi_59524_13034_ON_L_0017.rawspec.0000.h5,ON_L,59524.150856481479,2h39m23.16s,60d52m05.52s,18.253611,-2.793968,0.150339,292.057776,ON_L_1352,on_table_2,,0,699.9999995576218
7737,1931,-0.124364,31.850157,1544.102769,467932,1544.102834,1544.102711,241,315633,spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5,ON_L,59524.158935185187,2h39m23.28s,60d52m06.6s,18.253611,-2.793968,0.151874,292.057776,ON_L_1352,on_table_3,,0,1397.999999905005
1419,1420,0.124364,12.844457,1544.082379,475230,1544.08244,1544.082323,241,1026601,spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5,ON_L,59524.142754629633,2h39m23.28s,60d52m06.96s,18.253611,-2.793968,0.148505,292.057776,ON_L_1419,on_table_1,2,0,0.0
5411,1205,-0.133931,10.492014,1544.082466,475199,1544.082527,1544.08241,241,152448,spliced_blc0x1x2x_guppi_59524_13034_ON_L_0017.rawspec.0000.h5,ON_L,59524.150856481479,2h39m23.16s,60d52m05.52s,18.253611,-2.793968,0.150339,292.057776,ON_L_1419,on_table_2,,0,699.9999995576218
7762,1956,-0.143497,47.816769,1544.082541,475172,1544.082605,1544.082482,241,315633,spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5,ON_L,59524.158935185187,2h39m23.28s,60d52m06.6s,18.253611,-2.793968,0.151874,292.057776,ON_L_1419,on_table_3,,0,1397.999999905005
