
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8685 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.15893518519, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5, max_drift=0.15187436941945667, min_drift=0.10124957961297112, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 11.443189, Drift Rate 0.143497, index 476785
Top hit found! SNR 10.538470, Drift Rate 0.124364, index 476960
Top hit found! SNR 12.046859, Drift Rate -0.143497, index 477989
Top hit found! SNR 10.605548, Drift Rate -0.114798, index 478181
Top hit found! SNR 16.424898, Drift Rate -0.124364, index 478900
Top hit found! SNR 12.490452, Drift Rate 0.143497, index 479138
Top hit found! SNR 10.061634, Drift Rate -0.114798, index 480184
Top hit found! SNR 10.409168, Drift Rate -0.114798, index 480307
Top hit found! SNR 11.914062, Drift Rate -0.133931, index 481126
Top hit found! SNR 13.272912, Drift Rate 0.133931, index 481614
Top hit found! SNR 11.282833, Drift Rate 0.114798, index 481687
Top hit found! SNR 13.939732, Drift Rate -0.133931, index 481955
Top hit found! SNR 13.046782, Drift Rate 0.124364, index 482003
Top hit found! SNR 10.343809, Drift Rate -0.105231, index 483044
Top hit found! SNR 11.369828, Drift Rate 0.143497, index 484602
Top hit found! SNR 10.186728, Drift Rate -0.143497, index 484717
Top hit found! SNR 11.604424, Drift Rate -0.133931, index 484789
Top hit found! SNR 12.509255, Drift Rate 0.105231, index 484852
Top hit found! SNR 10.060508, Drift Rate -0.124364, index 484932
Top hit found! SNR 10.673492, Drift Rate 0.124364, index 485006
Top hit found! SNR 10.571424, Drift Rate -0.114798, index 485031
Top hit found! SNR 10.688111, Drift Rate 0.143497, index 485596
Top hit found! SNR 10.793450, Drift Rate -0.133931, index 486591
Top hit found! SNR 10.106701, Drift Rate -0.133931, index 486683
Top hit found! SNR 10.191302, Drift Rate 0.105231, index 486807
Top hit found! SNR 11.053410, Drift Rate -0.143497, index 486868
Top hit found! SNR 10.679664, Drift Rate 0.133931, index 486905
Top hit found! SNR 10.370413, Drift Rate 0.133931, index 487101
Top hit found! SNR 10.061070, Drift Rate -0.133931, index 487764
Top hit found! SNR 13.322945, Drift Rate 0.124364, index 488170
Top hit found! SNR 12.834700, Drift Rate -0.105231, index 488338
Top hit found! SNR 13.058257, Drift Rate 0.124364, index 488417
Top hit found! SNR 15.765983, Drift Rate -0.124364, index 488538
Top hit found! SNR 16.986958, Drift Rate 0.105231, index 488768
Top hit found! SNR 14.710139, Drift Rate 0.124364, index 488809
Top hit found! SNR 18.178747, Drift Rate 0.124364, index 488857
Top hit found! SNR 16.687016, Drift Rate -0.133931, index 488911
Top hit found! SNR 15.266026, Drift Rate 0.105231, index 488947
Top hit found! SNR 16.741215, Drift Rate -0.133931, index 489014
Top hit found! SNR 16.565475, Drift Rate -0.124364, index 489092
Top hit found! SNR 22.963526, Drift Rate 0.105231, index 489240
Top hit found! SNR 22.216961, Drift Rate -0.133931, index 489339
Top hit found! SNR 21.936852, Drift Rate -0.143497, index 489364
Top hit found! SNR 18.747232, Drift Rate -0.133931, index 489458
Top hit found! SNR 16.650259, Drift Rate -0.133931, index 489548
Top hit found! SNR 14.273719, Drift Rate 0.124364, index 489769
Top hit found! SNR 16.650867, Drift Rate 0.105231, index 489859
Top hit found! SNR 18.656588, Drift Rate -0.133931, index 489984
Top hit found! SNR 18.263939, Drift Rate -0.124364, index 490177
Top hit found! SNR 16.419760, Drift Rate -0.143497, index 490235
Top hit found! SNR 15.689623, Drift Rate 0.133931, index 490566
Top hit found! SNR 15.347372, Drift Rate 0.143497, index 549677
Top hit found! SNR 14.574873, Drift Rate 0.124364, index 608315
Top hit found! SNR 10.090853, Drift Rate 0.124364, index 608506
Top hit found! SNR 13.104366, Drift Rate -0.114798, index 624505
Top hit found! SNR 13.113864, Drift Rate -0.124364, index 680671
Top hit found! SNR 13.156639, Drift Rate 0.124364, index 680693
Top hit found! SNR 12.160542, Drift Rate -0.143497, index 680759
Top hit found! SNR 12.629025, Drift Rate 0.143497, index 725147
Top hit found! SNR 13.391890, Drift Rate -0.124364, index 726102
Top hit found! SNR 14.516151, Drift Rate -0.124364, index 727041
Top hit found! SNR 14.429090, Drift Rate 0.124364, index 741075
Top hit found! SNR 12.894412, Drift Rate -0.133931, index 741203
Top hit found! SNR 15.499465, Drift Rate -0.114798, index 741424
Top hit found! SNR 17.139662, Drift Rate 0.105231, index 815896
Top hit found! SNR 20.722757, Drift Rate 0.114798, index 815982
Top hit found! SNR 18.964140, Drift Rate -0.124364, index 893285
Top hit found! SNR 13.448915, Drift Rate 0.143497, index 118372
Top hit found! SNR 11.170652, Drift Rate 0.143497, index 118673
Top hit found! SNR 14.247749, Drift Rate -0.133931, index 162943
Top hit found! SNR 10.159086, Drift Rate -0.124364, index 223200
Top hit found! SNR 10.441048, Drift Rate 0.143497, index 223279
Top hit found! SNR 10.488304, Drift Rate 0.143497, index 238491
Top hit found! SNR 10.899789, Drift Rate 0.114798, index 290082
Top hit found! SNR 22.395338, Drift Rate -0.143497, index 558765
Top hit found! SNR 10.975943, Drift Rate 0.124364, index 603172
Top hit found! SNR 12.933537, Drift Rate 0.124364, index 842155
Top hit found! SNR 30.525803, Drift Rate -0.105231, index 107963
Top hit found! SNR 11.152501, Drift Rate -0.143497, index 125205
Top hit found! SNR 13.629608, Drift Rate 0.105231, index 139383
Top hit found! SNR 19.176275, Drift Rate -0.105231, index 139565
Top hit found! SNR 12.145942, Drift Rate 0.133931, index 167058
Top hit found! SNR 10.133018, Drift Rate 0.133931, index 167285
Top hit found! SNR 32.675709, Drift Rate 0.124364, index 167601
Top hit found! SNR 30.523144, Drift Rate -0.124364, index 199336
Top hit found! SNR 12.748408, Drift Rate -0.143497, index 214325
Top hit found! SNR 14.551715, Drift Rate -0.133931, index 216851
Top hit found! SNR 10.114590, Drift Rate -0.133931, index 231978
Top hit found! SNR 26.515654, Drift Rate -0.124364, index 245599
Top hit found! SNR 14.243575, Drift Rate 0.114798, index 258079
Top hit found! SNR 14.866312, Drift Rate -0.133931, index 272863
Top hit found! SNR 17.168203, Drift Rate -0.133931, index 273293
Top hit found! SNR 11.470032, Drift Rate -0.105231, index 315966
Top hit found! SNR 17.277454, Drift Rate 0.124364, index 320516
Top hit found! SNR 16.295404, Drift Rate 0.133931, index 330537
Top hit found! SNR 12.448018, Drift Rate 0.143497, index 333248
Top hit found! SNR 10.923733, Drift Rate -0.124364, index 398138
Top hit found! SNR 10.446976, Drift Rate 0.124364, index 399290
Top hit found! SNR 11.706172, Drift Rate -0.133931, index 418064
Top hit found! SNR 11.446215, Drift Rate 0.114798, index 418090
Top hit found! SNR 15.829551, Drift Rate -0.133931, index 418231
Top hit found! SNR 10.715692, Drift Rate 0.114798, index 429483
Top hit found! SNR 24.349421, Drift Rate 0.133931, index 450414
Top hit found! SNR 29.030212, Drift Rate -0.133931, index 451048
Top hit found! SNR 10.952666, Drift Rate -0.143497, index 465078
Top hit found! SNR 22.906954, Drift Rate -0.114798, index 477237
Top hit found! SNR 10.141882, Drift Rate 0.143497, index 495093
Top hit found! SNR 10.137891, Drift Rate -0.143497, index 524998
Top hit found! SNR 10.029686, Drift Rate 0.143497, index 525022
Top hit found! SNR 10.151334, Drift Rate -0.133931, index 525486
Top hit found! SNR 19.476530, Drift Rate -0.124364, index 615533
Top hit found! SNR 13.439351, Drift Rate 0.133931, index 615709
Top hit found! SNR 17.478022, Drift Rate 0.143497, index 645545
Top hit found! SNR 11.962314, Drift Rate 0.143497, index 646035
Top hit found! SNR 10.633641, Drift Rate -0.143497, index 688397
Top hit found! SNR 12.101777, Drift Rate 0.143497, index 690213
Top hit found! SNR 14.272697, Drift Rate -0.124364, index 815425
Top hit found! SNR 23.645010, Drift Rate 0.124364, index 829581
Top hit found! SNR 29.776793, Drift Rate -0.124364, index 829831
Top hit found! SNR 13.802925, Drift Rate 0.133931, index 830336
Top hit found! SNR 14.894356, Drift Rate -0.133931, index 833661
Top hit found! SNR 13.713225, Drift Rate -0.124364, index 846490
Top hit found! SNR 19.712376, Drift Rate -0.114798, index 889708
Top hit found! SNR 18.546436, Drift Rate -0.105231, index 890034
Top hit found! SNR 11.009655, Drift Rate -0.143497, index 893142
Top hit found! SNR 12.961213, Drift Rate -0.114798, index 908322
Top hit found! SNR 38.205471, Drift Rate -0.105231, index 908509
Top hit found! SNR 12.463939, Drift Rate 0.133931, index 937959
Top hit found! SNR 17.861603, Drift Rate -0.133931, index 984226
Top hit found! SNR 17.905073, Drift Rate 0.143497, index 984253
Top hit found! SNR 17.039032, Drift Rate 0.124364, index 125693
Top hit found! SNR 36.926491, Drift Rate -0.133931, index 139466
Top hit found! SNR 13.826391, Drift Rate 0.114798, index 141390
Top hit found! SNR 29.605358, Drift Rate -0.143497, index 147029
Top hit found! SNR 14.505755, Drift Rate -0.143497, index 147986
Top hit found! SNR 14.399404, Drift Rate 0.114798, index 148013
Top hit found! SNR 17.513437, Drift Rate 0.124364, index 154012
Top hit found! SNR 16.043331, Drift Rate 0.143497, index 155549
Top hit found! SNR 21.763096, Drift Rate -0.143497, index 155773
Top hit found! SNR 28.442251, Drift Rate -0.105231, index 155942
Top hit found! SNR 14.962169, Drift Rate 0.124364, index 168342
Top hit found! SNR 10.367578, Drift Rate -0.124364, index 170625
Top hit found! SNR 16.219406, Drift Rate -0.105231, index 176574
Top hit found! SNR 29.004301, Drift Rate -0.143497, index 183264
Top hit found! SNR 16.809355, Drift Rate 0.124364, index 183736
Top hit found! SNR 13.050126, Drift Rate 0.105231, index 185490
Top hit found! SNR 13.675834, Drift Rate 0.124364, index 185553
Top hit found! SNR 10.310113, Drift Rate -0.143497, index 188030
Top hit found! SNR 32.046028, Drift Rate 0.143497, index 191747
Top hit found! SNR 25.666248, Drift Rate -0.143497, index 198625
Top hit found! SNR 26.059998, Drift Rate 0.124364, index 198654
Top hit found! SNR 12.811305, Drift Rate 0.124364, index 200633
Top hit found! SNR 11.789544, Drift Rate 0.114798, index 201512
Top hit found! SNR 14.446275, Drift Rate -0.143497, index 206445
Top hit found! SNR 16.092665, Drift Rate 0.133931, index 221420
Top hit found! SNR 11.564865, Drift Rate 0.143497, index 226317
Top hit found! SNR 10.351975, Drift Rate 0.143497, index 227986
Top hit found! SNR 10.995456, Drift Rate -0.143497, index 228117
Top hit found! SNR 11.495610, Drift Rate 0.124364, index 228253
Top hit found! SNR 17.934994, Drift Rate 0.143497, index 228657
Top hit found! SNR 10.064308, Drift Rate -0.105231, index 842310
Top hit found! SNR 10.324070, Drift Rate -0.143497, index 842670
Top hit found! SNR 10.039538, Drift Rate -0.133931, index 843029
