
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5933 deg>, 'src_raj': <Angle 2.30402 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14680555555, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5, max_drift=0.1315720815425981, min_drift=0.08771472102839875, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.436285, Drift Rate 0.095665, index 466339
Top hit found! SNR 11.208619, Drift Rate 0.095665, index 466383
Top hit found! SNR 14.133245, Drift Rate -0.124364, index 466576
Top hit found! SNR 14.992577, Drift Rate -0.114798, index 466627
Top hit found! SNR 23.247227, Drift Rate -0.124364, index 466754
Top hit found! SNR 20.061184, Drift Rate 0.124364, index 466852
Top hit found! SNR 21.556005, Drift Rate -0.105231, index 466964
Top hit found! SNR 18.150314, Drift Rate 0.114798, index 467040
Top hit found! SNR 17.919012, Drift Rate -0.124364, index 467060
Top hit found! SNR 19.789709, Drift Rate 0.105231, index 467153
Top hit found! SNR 20.531221, Drift Rate 0.124364, index 467203
Top hit found! SNR 19.625551, Drift Rate -0.124364, index 467369
Top hit found! SNR 21.951323, Drift Rate -0.114798, index 467422
Top hit found! SNR 19.254276, Drift Rate 0.124364, index 467532
Top hit found! SNR 24.605757, Drift Rate 0.105231, index 467804
Top hit found! SNR 20.514366, Drift Rate 0.114798, index 467984
Top hit found! SNR 27.972168, Drift Rate -0.124364, index 468188
Top hit found! SNR 23.516098, Drift Rate -0.124364, index 468277
Top hit found! SNR 23.504965, Drift Rate -0.114798, index 468492
Top hit found! SNR 20.684088, Drift Rate -0.105231, index 469011
Top hit found! SNR 20.451187, Drift Rate -0.114798, index 469415
Top hit found! SNR 30.618475, Drift Rate -0.124364, index 469591
Top hit found! SNR 24.626257, Drift Rate -0.114798, index 469924
Top hit found! SNR 23.537565, Drift Rate 0.124364, index 470030
Top hit found! SNR 21.614674, Drift Rate 0.095665, index 470099
Top hit found! SNR 20.292946, Drift Rate -0.124364, index 470451
Top hit found! SNR 19.798317, Drift Rate -0.114798, index 470547
Top hit found! SNR 19.207272, Drift Rate 0.114798, index 470589
Top hit found! SNR 21.741045, Drift Rate 0.124364, index 470790
Top hit found! SNR 19.731781, Drift Rate 0.105231, index 470998
Top hit found! SNR 21.847231, Drift Rate -0.114798, index 471041
Top hit found! SNR 23.644979, Drift Rate -0.105231, index 471070
Top hit found! SNR 22.884491, Drift Rate -0.114798, index 471419
Top hit found! SNR 23.475586, Drift Rate 0.124364, index 471534
Top hit found! SNR 19.982195, Drift Rate -0.105231, index 471632
Top hit found! SNR 21.080711, Drift Rate -0.114798, index 471769
Top hit found! SNR 18.225542, Drift Rate 0.105231, index 472058
Top hit found! SNR 20.370123, Drift Rate -0.114798, index 472098
Top hit found! SNR 19.203291, Drift Rate -0.095665, index 472369
Top hit found! SNR 19.885868, Drift Rate 0.124364, index 472764
Top hit found! SNR 16.451019, Drift Rate 0.105231, index 472808
Top hit found! SNR 18.473675, Drift Rate -0.124364, index 472902
Top hit found! SNR 19.158339, Drift Rate 0.124364, index 472950
Top hit found! SNR 18.122936, Drift Rate 0.114798, index 473083
