
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.6564 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.18732638889, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5, max_drift=0.21686506355568377, min_drift=0.14457670903712252, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 24.275036, Drift Rate 0.191330, index 524305
Top hit found! SNR 83.880096, Drift Rate 0.210463, index 608954
Top hit found! SNR 10.970209, Drift Rate -0.200896, index 567389
Top hit found! SNR 21.287140, Drift Rate 0.172197, index 278382
Top hit found! SNR 10.983350, Drift Rate -0.200896, index 787961
Top hit found! SNR 13.962489, Drift Rate -0.172197, index 796749
Top hit found! SNR 54.995747, Drift Rate -0.210463, index 796802
Top hit found! SNR 69.508179, Drift Rate -0.210463, index 796858
Top hit found! SNR 69.437538, Drift Rate -0.210463, index 796970
Top hit found! SNR 59.665508, Drift Rate -0.200896, index 797027
Top hit found! SNR 12.791972, Drift Rate -0.172197, index 801145
Top hit found! SNR 18.223879, Drift Rate -0.181763, index 202208
Top hit found! SNR 33.172226, Drift Rate 0.210463, index 202423
Top hit found! SNR 22.062201, Drift Rate -0.200896, index 202518
Top hit found! SNR 12.626400, Drift Rate 0.181763, index 202792
Top hit found! SNR 12.161338, Drift Rate 0.162630, index 70467
Top hit found! SNR 22.230238, Drift Rate 0.162630, index 72992
Top hit found! SNR 15.698204, Drift Rate 0.162630, index 94349
Top hit found! SNR 10.937081, Drift Rate 0.162630, index 102029
Top hit found! SNR 13.019315, Drift Rate 0.162630, index 124543
Top hit found! SNR 18.286924, Drift Rate 0.162630, index 154632
Top hit found! SNR 10.545569, Drift Rate 0.162630, index 164732
Top hit found! SNR 15.610459, Drift Rate 0.162630, index 166941
Top hit found! SNR 15.086636, Drift Rate 0.162630, index 169992
Top hit found! SNR 18.833370, Drift Rate 0.162630, index 170413
Top hit found! SNR 16.767662, Drift Rate 0.172197, index 174095
Top hit found! SNR 14.566798, Drift Rate 0.162630, index 174621
Top hit found! SNR 16.498058, Drift Rate 0.162630, index 182196
Top hit found! SNR 12.462637, Drift Rate 0.162630, index 186299
Top hit found! SNR 10.900119, Drift Rate 0.181763, index 192612
Top hit found! SNR 10.716582, Drift Rate 0.172197, index 193769
Top hit found! SNR 10.915018, Drift Rate 0.162630, index 196925
Top hit found! SNR 10.784251, Drift Rate 0.162630, index 198608
Top hit found! SNR 11.408182, Drift Rate 0.162630, index 200081
Top hit found! SNR 10.536461, Drift Rate 0.162630, index 204605
Top hit found! SNR 10.306606, Drift Rate 0.162630, index 208182
Top hit found! SNR 11.653584, Drift Rate 0.162630, index 208603
Top hit found! SNR 10.005084, Drift Rate 0.162630, index 212601
Top hit found! SNR 19.990915, Drift Rate 0.162630, index 213127
Top hit found! SNR 10.939291, Drift Rate 0.162630, index 216073
Top hit found! SNR 10.756910, Drift Rate 0.162630, index 218387
Top hit found! SNR 14.130242, Drift Rate 0.153064, index 218913
Top hit found! SNR 12.892430, Drift Rate 0.153064, index 225331
Top hit found! SNR 12.344034, Drift Rate 0.162630, index 226488
Top hit found! SNR 10.024956, Drift Rate 0.162630, index 227014
