
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.21714069261334942, min_drift=0.14476046174223298, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 61.008373, Drift Rate -0.172197, index 787290
Top hit found! SNR 46.755287, Drift Rate -0.210463, index 787425
Top hit found! SNR 67.809494, Drift Rate -0.210463, index 787594
Top hit found! SNR 82.087051, Drift Rate -0.210463, index 787680
Top hit found! SNR 81.068108, Drift Rate -0.162630, index 787873
Top hit found! SNR 131.271454, Drift Rate -0.200896, index 787927
Top hit found! SNR 136.124146, Drift Rate -0.210463, index 788063
Top hit found! SNR 55.907108, Drift Rate 0.153064, index 788424
Top hit found! SNR 46.824024, Drift Rate -0.172197, index 788620
Top hit found! SNR 49.872463, Drift Rate -0.200896, index 788657
Top hit found! SNR 24.832941, Drift Rate -0.200896, index 788999
Top hit found! SNR 10.866229, Drift Rate 0.191330, index 789268
Top hit found! SNR 26.235964, Drift Rate -0.210463, index 791483
Top hit found! SNR 35.077282, Drift Rate -0.181763, index 792363
Top hit found! SNR 21.526386, Drift Rate -0.200896, index 792529
Top hit found! SNR 17.145351, Drift Rate -0.210463, index 792640
Top hit found! SNR 29.496649, Drift Rate -0.200896, index 792764
Top hit found! SNR 10.418640, Drift Rate -0.172197, index 795850
Top hit found! SNR 11.745461, Drift Rate -0.172197, index 795898
Top hit found! SNR 39.252102, Drift Rate -0.210463, index 796064
Top hit found! SNR 72.154274, Drift Rate -0.191330, index 796272
Top hit found! SNR 105.656334, Drift Rate 0.153064, index 796313
Top hit found! SNR 82.652596, Drift Rate -0.210463, index 796362
