,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
44,45,0.210463,53.70882,2465.98703,1023858,2465.987119,2465.986946,233,5072,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.216865,292.057776,ON_S_44,on_table_1,2,0,0.0
430,36,0.210463,66.516853,2465.987203,1023796,2465.987293,2465.987119,233,6993,spliced_blc0x1x2x_guppi_59524_16875_ON_S_0032.rawspec.0000.h5,ON_S,59524.195312500000,2h39m22.896s,60d52m06.96s,18.253611,-2.793968,0.217136,292.057776,ON_S_44,on_table_2,,0,689.9999997345731
604,14,0.210463,69.964806,2465.987371,1023736,2465.98746,2465.987287,233,6183,spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5,ON_S,59524.203171296300,2h39m22.92s,60d52m06.96s,18.253611,-2.793968,0.217141,292.057776,ON_S_44,on_table_3,,0,1369.0000000409782
46,47,0.210463,16.957968,2463.05734,1023859,2463.057429,2463.057256,234,1037,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.216865,292.057776,ON_S_46,on_table_1,2,0,0.0
433,39,0.210463,18.92065,2463.057521,1023794,2463.057611,2463.057438,234,1438,spliced_blc0x1x2x_guppi_59524_16875_ON_S_0032.rawspec.0000.h5,ON_S,59524.195312500000,2h39m22.896s,60d52m06.96s,18.253611,-2.793968,0.217136,292.057776,ON_S_46,on_table_2,,0,689.9999997345731
605,15,0.210463,13.773108,2463.057683,1023736,2463.057773,2463.0576,234,163,spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5,ON_S,59524.203171296300,2h39m22.92s,60d52m06.96s,18.253611,-2.793968,0.217141,292.057776,ON_S_46,on_table_3,,0,1369.0000000409782
62,63,0.210463,32.919796,2418.913368,46386,2418.913457,2418.913284,250,4094,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.216865,292.057776,ON_S_62,on_table_1,2,0,0.0
446,52,0.181763,33.311642,2418.913496,46340,2418.913586,2418.913412,250,2627,spliced_blc0x1x2x_guppi_59524_16875_ON_S_0032.rawspec.0000.h5,ON_S,59524.195312500000,2h39m22.896s,60d52m06.96s,18.253611,-2.793968,0.217136,292.057776,ON_S_62,on_table_2,,0,689.9999997345731
612,22,0.172197,34.684193,2418.913642,46288,2418.913731,2418.913558,250,4011,spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5,ON_S,59524.203171296300,2h39m22.92s,60d52m06.96s,18.253611,-2.793968,0.217141,292.057776,ON_S_62,on_table_3,,0,1369.0000000409782
67,68,0.19133,354.836243,2415.983683,46385,2415.983772,2415.983599,251,34622,spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5,ON_S,59524.187326388892,2h39m23.04s,60d52m06.96s,18.253611,-2.793968,0.216865,292.057776,ON_S_67,on_table_1,2,0,0.0
449,55,0.181763,322.343445,2415.983806,46341,2415.983895,2415.983722,251,26370,spliced_blc0x1x2x_guppi_59524_16875_ON_S_0032.rawspec.0000.h5,ON_S,59524.195312500000,2h39m22.896s,60d52m06.96s,18.253611,-2.793968,0.217136,292.057776,ON_S_67,on_table_2,,0,689.9999997345731
613,23,0.181763,361.103088,2415.983951,46289,2415.984041,2415.983867,251,26389,spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5,ON_S,59524.203171296300,2h39m22.92s,60d52m06.96s,18.253611,-2.793968,0.217141,292.057776,ON_S_67,on_table_3,,0,1369.0000000409782
