
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8685 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.15893518519, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5, max_drift=9.997, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 41.239853, Drift Rate -0.000000, index 723233
Top hit found! SNR 12.144306, Drift Rate -0.000000, index 748374
Top hit found! SNR 126.346344, Drift Rate -0.000000, index 822173
Top hit found! SNR 37.100433, Drift Rate -0.000000, index 825288
Top hit found! SNR 26.773291, Drift Rate -0.000000, index 855155
Top hit found! SNR 13.004731, Drift Rate -0.000000, index 858288
Top hit found! SNR 39.224094, Drift Rate -0.000000, index 888136
Top hit found! SNR 53.200390, Drift Rate -0.000000, index 921118
Top hit found! SNR 11.730927, Drift Rate -0.000000, index 924289
Top hit found! SNR 13.657637, Drift Rate -0.000000, index 947290
Top hit found! SNR 76.792648, Drift Rate -0.000000, index 954100
Top hit found! SNR 14.183343, Drift Rate -0.000000, index 955823
Top hit found! SNR 20.135403, Drift Rate -0.000000, index 957289
Top hit found! SNR 38.243904, Drift Rate -0.000000, index 987077
Top hit found! SNR 120.991020, Drift Rate -0.000000, index 37446
Top hit found! SNR 15.887708, Drift Rate -0.000000, index 39209
Top hit found! SNR 33.763096, Drift Rate -0.000000, index 40709
Top hit found! SNR 25.544849, Drift Rate -0.000000, index 103405
Top hit found! SNR 36.048996, Drift Rate -0.000000, index 136386
Top hit found! SNR 43870.000000, Drift Rate -0.000000, index 169368
Top hit found! SNR 1587.865845, Drift Rate -0.000000, index 172705
Top hit found! SNR 21.706738, Drift Rate -0.000000, index 202350
Top hit found! SNR 25.876858, Drift Rate -0.000000, index 235331
Top hit found! SNR 32.078831, Drift Rate -0.000000, index 268308
Top hit found! SNR 10.683033, Drift Rate -0.000000, index 271701
Top hit found! SNR 86.592041, Drift Rate -0.000000, index 301290
Top hit found! SNR 17.879381, Drift Rate -0.000000, index 303133
Top hit found! SNR 18.065058, Drift Rate -0.000000, index 304701
Top hit found! SNR 22.464867, Drift Rate -0.000000, index 334272
Top hit found! SNR 11.195622, Drift Rate -0.000000, index 336125
Top hit found! SNR 101.336395, Drift Rate -0.000000, index 433212
Top hit found! SNR 14.951960, Drift Rate 0.009566, index 435096
Top hit found! SNR 13.662939, Drift Rate -0.000000, index 436698
Top hit found! SNR 28.167116, Drift Rate -0.000000, index 466194
Top hit found! SNR 19.038662, Drift Rate -0.000000, index 499176
Top hit found! SNR 194.866562, Drift Rate -0.000000, index 524289
Top hit found! SNR 41.582081, Drift Rate -0.000000, index 532157
Top hit found! SNR 101.785599, Drift Rate -0.000000, index 565139
Top hit found! SNR 13.848192, Drift Rate -0.000000, index 567062
Top hit found! SNR 12.415658, Drift Rate -0.000000, index 598116
Top hit found! SNR 13.514880, Drift Rate -0.000000, index 631097
Top hit found! SNR 20.712944, Drift Rate -0.000000, index 697061
Top hit found! SNR 5402.711914, Drift Rate -0.000000, index 828983
Top hit found! SNR 1034.138306, Drift Rate -0.000000, index 831041
Top hit found! SNR 369.849487, Drift Rate -0.000000, index 832691
Top hit found! SNR 10.585673, Drift Rate -0.000000, index 46392
Top hit found! SNR 837.537415, Drift Rate -0.000000, index 51061
Top hit found! SNR 19.755793, Drift Rate -0.000000, index 53531
Top hit found! SNR 17.371847, Drift Rate -0.000000, index 110215
Top hit found! SNR 13.913055, Drift Rate -0.000000, index 176178
Top hit found! SNR 11.901446, Drift Rate -0.000000, index 178359
Top hit found! SNR 15.109830, Drift Rate -0.000000, index 275118
Top hit found! SNR 38.707317, Drift Rate -0.000000, index 310323
Top hit found! SNR 2272.307861, Drift Rate -0.000000, index 342535
Top hit found! SNR 8429.299805, Drift Rate -0.000000, index 440022
Top hit found! SNR 187.592331, Drift Rate 0.009566, index 524289
Top hit found! SNR 24.748737, Drift Rate -0.000000, index 571944
Top hit found! SNR 13.627099, Drift Rate -0.000000, index 604926
Top hit found! SNR 10.586689, Drift Rate -0.009566, index 703866
Top hit found! SNR 13.382614, Drift Rate -0.000000, index 835793
Top hit found! SNR 11790.563477, Drift Rate -0.000000, index 51061
Top hit found! SNR 361.224884, Drift Rate -0.000000, index 53531
Top hit found! SNR 60.191536, Drift Rate -0.000000, index 55511
Top hit found! SNR 21.747547, Drift Rate -0.000000, index 215965
Top hit found! SNR 19.159195, Drift Rate -0.000000, index 314906
Top hit found! SNR 18.322590, Drift Rate -0.000000, index 446832
Top hit found! SNR 10.195202, Drift Rate -0.000000, index 512791
Top hit found! SNR 189.413086, Drift Rate -0.009566, index 524287
Top hit found! SNR 17.770060, Drift Rate -0.000000, index 545773
Top hit found! SNR 11.121190, Drift Rate 0.009566, index 578755
Top hit found! SNR 13.218637, Drift Rate -0.000000, index 611736
Top hit found! SNR 1110.602905, Drift Rate -0.000000, index 710676
Top hit found! SNR 67.767670, Drift Rate -0.000000, index 713352
Top hit found! SNR 26.392952, Drift Rate -0.000000, index 715497
Top hit found! SNR 14.124990, Drift Rate -0.105231, index 733800
Top hit found! SNR 16.526016, Drift Rate -0.105231, index 735605
Top hit found! SNR 21.329891, Drift Rate -0.000000, index 842598
Top hit found! SNR 13.690425, Drift Rate -0.000000, index 875580
Top hit found! SNR 13.864828, Drift Rate -0.000000, index 923188
Top hit found! SNR 26.651714, Drift Rate -0.000000, index 974521
Top hit found! SNR 19.494198, Drift Rate -0.000000, index 57871
Top hit found! SNR 24.312891, Drift Rate -0.000000, index 156812
Top hit found! SNR 1733.886597, Drift Rate -0.000000, index 321716
Top hit found! SNR 33.742580, Drift Rate -0.000000, index 324520
Top hit found! SNR 188.433899, Drift Rate -0.000000, index 524287
Top hit found! SNR 57.456642, Drift Rate -0.000000, index 585560
Top hit found! SNR 19.255585, Drift Rate -0.000000, index 618541
Top hit found! SNR 40.307472, Drift Rate -0.000000, index 651523
Top hit found! SNR 41.335106, Drift Rate -0.000000, index 717486
Top hit found! SNR 16.891161, Drift Rate -0.000000, index 816427
Top hit found! SNR 21.621658, Drift Rate -0.000000, index 849409
Top hit found! SNR 1508.238037, Drift Rate -0.000000, index 981331
Top hit found! SNR 66.846901, Drift Rate -0.000000, index 984336
Top hit found! SNR 248.963867, Drift Rate -0.000000, index 986893
Top hit found! SNR 18.730104, Drift Rate -0.000000, index 196599
Top hit found! SNR 34.149719, Drift Rate -0.000000, index 199684
Top hit found! SNR 17.250158, Drift Rate -0.000000, index 202309
Top hit found! SNR 17.707552, Drift Rate -0.000000, index 262562
Top hit found! SNR 179.128235, Drift Rate -0.000000, index 290612
Top hit found! SNR 14.498464, Drift Rate -0.000000, index 328525
Top hit found! SNR 28.726925, Drift Rate -0.000000, index 331651
Top hit found! SNR 25.107002, Drift Rate -0.000000, index 334310
Top hit found! SNR 22.560034, Drift Rate -0.000000, index 427466
Top hit found! SNR 21.978165, Drift Rate -0.000000, index 463613
Top hit found! SNR 178.179382, Drift Rate -0.028699, index 524286
Top hit found! SNR 1637.450195, Drift Rate -0.000000, index 592370
Top hit found! SNR 475.240570, Drift Rate -0.000000, index 595575
Top hit found! SNR 56.471748, Drift Rate -0.000000, index 598303
Top hit found! SNR 11.439472, Drift Rate -0.000000, index 727537
Top hit found! SNR 13.606580, Drift Rate -0.000000, index 757274
Top hit found! SNR 13.904490, Drift Rate -0.000000, index 775946
Top hit found! SNR 107.478546, Drift Rate -0.000000, index 856214
Top hit found! SNR 14.365467, Drift Rate -0.000000, index 862295
Top hit found! SNR 14.303853, Drift Rate -0.000000, index 889195
Top hit found! SNR 41.832294, Drift Rate -0.000000, index 922177
Top hit found! SNR 17.330313, Drift Rate -0.000000, index 955159
Top hit found! SNR 38.390881, Drift Rate -0.000000, index 981331
Top hit found! SNR 37.861507, Drift Rate -0.000000, index 988141
Top hit found! SNR 938.221008, Drift Rate -0.000000, index 1022913
Top hit found! SNR 11.752684, Drift Rate -0.000000, index 38505
Top hit found! SNR 20.401791, Drift Rate -0.000000, index 71487
Top hit found! SNR 2066.619141, Drift Rate -0.000000, index 203409
Top hit found! SNR 212.964249, Drift Rate -0.000000, index 206908
Top hit found! SNR 259.605774, Drift Rate 0.019133, index 209714
Top hit found! SNR 23.296139, Drift Rate -0.000000, index 335331
Top hit found! SNR 25.968328, Drift Rate -0.000000, index 469452
Top hit found! SNR 21.217493, Drift Rate -0.000000, index 473819
Top hit found! SNR 12.756462, Drift Rate -0.000000, index 478901
Top hit found! SNR 23.963556, Drift Rate -0.000000, index 481693
Top hit found! SNR 32.341801, Drift Rate -0.000000, index 485630
Top hit found! SNR 17.630302, Drift Rate -0.000000, index 487992
Top hit found! SNR 20.951731, Drift Rate -0.000000, index 491643
Top hit found! SNR 12.817870, Drift Rate -0.000000, index 493146
Top hit found! SNR 33.267929, Drift Rate -0.000000, index 497155
Top hit found! SNR 22.440056, Drift Rate -0.000000, index 502094
Top hit found! SNR 28.670851, Drift Rate -0.000000, index 503812
Top hit found! SNR 13.280479, Drift Rate -0.000000, index 506246
Top hit found! SNR 166.209335, Drift Rate -0.000000, index 524287
Top hit found! SNR 16.671635, Drift Rate -0.000000, index 602802
Top hit found! SNR 553.961792, Drift Rate -0.000000, index 863024
Top hit found! SNR 83.500740, Drift Rate 0.009566, index 866729
Top hit found! SNR 240.041565, Drift Rate -0.000000, index 1022913
Top hit found! SNR 21.890381, Drift Rate -0.000000, index 259779
Top hit found! SNR 15.235139, Drift Rate -0.000000, index 263716
Top hit found! SNR 13.466801, Drift Rate -0.000000, index 269156
Top hit found! SNR 20.216711, Drift Rate -0.000000, index 272807
Top hit found! SNR 35.788136, Drift Rate -0.000000, index 275885
Top hit found! SNR 16.768845, Drift Rate -0.000000, index 278319
Top hit found! SNR 17.209911, Drift Rate -0.000000, index 279822
Top hit found! SNR 14.541003, Drift Rate -0.000000, index 281898
Top hit found! SNR 33.796654, Drift Rate -0.000000, index 287410
Top hit found! SNR 29.142918, Drift Rate -0.000000, index 288913
Top hit found! SNR 27.701113, Drift Rate -0.000000, index 294067
Top hit found! SNR 13.156378, Drift Rate -0.000000, index 296501
Top hit found! SNR 105.822891, Drift Rate -0.000000, index 474063
Top hit found! SNR 23.915010, Drift Rate -0.000000, index 477973
Top hit found! SNR 13.618120, Drift Rate -0.000000, index 481108
Top hit found! SNR 157.461227, Drift Rate -0.038266, index 524286
Top hit found! SNR 15.051401, Drift Rate -0.000000, index 869834
Top hit found! SNR 646.418030, Drift Rate -0.000000, index 85102
Top hit found! SNR 36.376270, Drift Rate -0.000000, index 89218
Top hit found! SNR 19.813993, Drift Rate -0.000000, index 221071
Top hit found! SNR 21.112406, Drift Rate -0.000000, index 250006
Top hit found! SNR 59.114548, Drift Rate -0.000000, index 348946
Top hit found! SNR 18.804617, Drift Rate -0.000000, index 353145
Top hit found! SNR 33.783306, Drift Rate -0.000000, index 381928
Top hit found! SNR 10.057186, Drift Rate -0.000000, index 386025
Top hit found! SNR 67.339836, Drift Rate -0.000000, index 414910
Top hit found! SNR 15.324346, Drift Rate -0.000000, index 419017
Top hit found! SNR 21.082163, Drift Rate -0.000000, index 447892
Top hit found! SNR 96.567719, Drift Rate -0.000000, index 480873
Top hit found! SNR 43.435211, Drift Rate -0.000000, index 485000
Top hit found! SNR 147.560318, Drift Rate -0.028699, index 524286
Top hit found! SNR 10.759419, Drift Rate -0.000000, index 546832
Top hit found! SNR 21.118673, Drift Rate -0.009566, index 579813
Top hit found! SNR 22.765213, Drift Rate -0.000000, index 583971
Top hit found! SNR 93.191254, Drift Rate -0.000000, index 612795
Top hit found! SNR 51.210335, Drift Rate -0.000000, index 617076
Top hit found! SNR 21.046244, Drift Rate -0.000000, index 645777
Top hit found! SNR 763.952759, Drift Rate -0.000000, index 744717
Top hit found! SNR 567.802246, Drift Rate -0.000000, index 749039
Top hit found! SNR 190.972733, Drift Rate -0.000000, index 752504
Top hit found! SNR 44.052387, Drift Rate -0.000000, index 876639
Top hit found! SNR 17.250809, Drift Rate -0.000000, index 880886
Top hit found! SNR 29.502756, Drift Rate -0.000000, index 909621
Top hit found! SNR 16.844545, Drift Rate -0.000000, index 913878
Top hit found! SNR 16.860785, Drift Rate -0.000000, index 1012849
Top hit found! SNR 10.054619, Drift Rate 0.009566, index 96240
Top hit found! SNR 11.770795, Drift Rate -0.000000, index 160782
Top hit found! SNR 15.340887, Drift Rate -0.000000, index 228202
Top hit found! SNR 253.881592, Drift Rate -0.000000, index 355756
Top hit found! SNR 260.918549, Drift Rate -0.000000, index 360164
Top hit found! SNR 39.177471, Drift Rate -0.000000, index 490071
Top hit found! SNR 138.969940, Drift Rate -0.000000, index 524287
Top hit found! SNR 70.272583, Drift Rate -0.000000, index 1015372
Top hit found! SNR 24.634405, Drift Rate -0.000000, index 1020105
Top hit found! SNR 15.882603, Drift Rate -0.000000, index 98717
Top hit found! SNR 12.568279, Drift Rate -0.000000, index 131699
Top hit found! SNR 23.303301, Drift Rate -0.000000, index 230640
Top hit found! SNR 19.271851, Drift Rate -0.000000, index 362566
Top hit found! SNR 133.912308, Drift Rate -0.028699, index 524286
Top hit found! SNR 11.093979, Drift Rate -0.047832, index 570985
Top hit found! SNR 17.241699, Drift Rate -0.000000, index 626411
Top hit found! SNR 74.884697, Drift Rate -0.000000, index 631219
Top hit found! SNR 22.199366, Drift Rate -0.000000, index 890255
Top hit found! SNR 25.229801, Drift Rate -0.000000, index 237450
Top hit found! SNR 45.072853, Drift Rate -0.000000, index 242595
Top hit found! SNR 144.483582, Drift Rate -0.000000, index 524289
Top hit found! SNR 23.362593, Drift Rate -0.000000, index 897065
Top hit found! SNR 12.542970, Drift Rate -0.000000, index 112333
Top hit found! SNR 17.719233, Drift Rate -0.000000, index 117766
Top hit found! SNR 11.276595, Drift Rate -0.000000, index 178296
Top hit found! SNR 20.325760, Drift Rate -0.000000, index 183750
Top hit found! SNR 11.216071, Drift Rate -0.000000, index 244260
Top hit found! SNR 21.877071, Drift Rate -0.000000, index 249734
Top hit found! SNR 16.615623, Drift Rate -0.000000, index 376182
Top hit found! SNR 24.596888, Drift Rate -0.000000, index 381698
Top hit found! SNR 700.282104, Drift Rate -0.000000, index 508104
Top hit found! SNR 568.599121, Drift Rate -0.000000, index 513661
Top hit found! SNR 119.834686, Drift Rate -0.000000, index 524289
Top hit found! SNR 19.210487, Drift Rate -0.000000, index 594193
Top hit found! SNR 12.829586, Drift Rate -0.000000, index 645624
Top hit found! SNR 10.807172, Drift Rate -0.000000, index 678616
Top hit found! SNR 28.853491, Drift Rate -0.000000, index 1013513
Top hit found! SNR 181.180374, Drift Rate -0.000000, index 119143
Top hit found! SNR 10.240281, Drift Rate -0.000000, index 124753
Top hit found! SNR 12.106794, Drift Rate -0.000000, index 514914
Top hit found! SNR 114.945183, Drift Rate 0.038266, index 524290
Top hit found! SNR 16.802662, Drift Rate -0.000000, index 646836
Top hit found! SNR 733.024475, Drift Rate -0.000000, index 778758
Top hit found! SNR 92.322739, Drift Rate -0.000000, index 784568
Top hit found! SNR 11.437429, Drift Rate -0.000000, index 910680
Top hit found! SNR 12.927844, Drift Rate -0.000000, index 836
Top hit found! SNR 877.297607, Drift Rate -0.000000, index 389797
Top hit found! SNR 107.436913, Drift Rate 0.009566, index 395808
Top hit found! SNR 110.283134, Drift Rate -0.000000, index 524289
Top hit found! SNR 29.414679, Drift Rate -0.000000, index 613745
Top hit found! SNR 12.868940, Drift Rate -0.000000, index 836
Top hit found! SNR 108.883911, Drift Rate -0.000000, index 524289
Top hit found! SNR 21.675035, Drift Rate -0.000000, index 660452
Top hit found! SNR 48.824425, Drift Rate -0.000000, index 271491
Top hit found! SNR 104.876740, Drift Rate 0.028699, index 524290
Top hit found! SNR 21.054268, Drift Rate -0.000000, index 931106
Top hit found! SNR 29.374161, Drift Rate -0.000000, index 938103
Top hit found! SNR 100.897186, Drift Rate 0.038266, index 524290
Top hit found! SNR 10.845732, Drift Rate -0.000000, index 542145
Top hit found! SNR 14.906134, Drift Rate -0.000000, index 549348
Top hit found! SNR 20.481911, Drift Rate -0.000000, index 153184
Top hit found! SNR 69.215294, Drift Rate -0.000000, index 160593
Top hit found! SNR 98.009811, Drift Rate -0.019133, index 524287
Top hit found! SNR 145.997986, Drift Rate -0.000000, index 412440
Top hit found! SNR 95.532822, Drift Rate 0.028699, index 524290
Top hit found! SNR 10.753874, Drift Rate 0.086098, index 69929
Top hit found! SNR 93.891914, Drift Rate 0.019133, index 524290
Top hit found! SNR 13.048432, Drift Rate -0.000000, index 694492
Top hit found! SNR 17.727669, Drift Rate -0.000000, index 305532
Top hit found! SNR 93.521500, Drift Rate -0.038266, index 524286
Top hit found! SNR 20.577621, Drift Rate -0.000000, index 965147
Top hit found! SNR 95.801834, Drift Rate -0.000000, index 524287
Top hit found! SNR 10.363073, Drift Rate -0.000000, index 576186
Top hit found! SNR 97.119209, Drift Rate -0.028699, index 524286
Top hit found! SNR 96.691589, Drift Rate -0.000000, index 524289
Top hit found! SNR 95.684448, Drift Rate -0.000000, index 524289
Top hit found! SNR 14.294037, Drift Rate -0.000000, index 728533
Top hit found! SNR 27.764763, Drift Rate -0.000000, index 230687
Top hit found! SNR 93.196899, Drift Rate -0.038266, index 524286
Top hit found! SNR 140.593872, Drift Rate -0.000000, index 524287
Top hit found! SNR 17.756905, Drift Rate -0.000000, index 971680
Top hit found! SNR 96.987938, Drift Rate -0.000000, index 524289
Top hit found! SNR 94.857033, Drift Rate -0.000000, index 524289
Top hit found! SNR 31002.517578, Drift Rate -0.000000, index 664098
Top hit found! SNR 94.525345, Drift Rate -0.000000, index 524289
Top hit found! SNR 10.460489, Drift Rate -0.000000, index 762574
Top hit found! SNR 11.146398, Drift Rate -0.000000, index 356516
Top hit found! SNR 551.463074, Drift Rate -0.000000, index 373613
Top hit found! SNR 93.720802, Drift Rate 0.028699, index 524290
Top hit found! SNR 57.064198, Drift Rate -0.000000, index 1033228
Top hit found! SNR 92.385498, Drift Rate 0.038266, index 524290
Top hit found! SNR 18.266586, Drift Rate -0.009566, index 644267
Top hit found! SNR 24.693211, Drift Rate -0.000000, index 1033228
Top hit found! SNR 35.446995, Drift Rate -0.000000, index 255307
