
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14275462963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5, max_drift=9.997, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.100220, Drift Rate -0.181763, index 94522
Top hit found! SNR 85.659256, Drift Rate -0.028699, index 524287
Top hit found! SNR 86.834770, Drift Rate -0.038266, index 524287
Top hit found! SNR 10.516676, Drift Rate -0.009566, index 509410
Top hit found! SNR 12291.764648, Drift Rate -0.000000, index 524225
Top hit found! SNR 127.752693, Drift Rate -0.181763, index 524281
Top hit found! SNR 127.227310, Drift Rate -0.392226, index 524274
Top hit found! SNR 127.610794, Drift Rate -0.392226, index 524274
Top hit found! SNR 129.510361, Drift Rate -0.210463, index 524280
Top hit found! SNR 11.767535, Drift Rate -0.019133, index 801742
Top hit found! SNR 20.988708, Drift Rate -0.000000, index 803908
Top hit found! SNR 12.292651, Drift Rate -0.038266, index 818986
Top hit found! SNR 128.843369, Drift Rate 0.229596, index 524295
Top hit found! SNR 129.993759, Drift Rate -0.401793, index 524273
Top hit found! SNR 129.681976, Drift Rate 0.086098, index 524290
Top hit found! SNR 128.431488, Drift Rate -0.200896, index 524281
Top hit found! SNR 129.013397, Drift Rate -0.028699, index 524286
Top hit found! SNR 43.761097, Drift Rate 0.019133, index 228882
Top hit found! SNR 21.368580, Drift Rate -0.038266, index 248397
Top hit found! SNR 24.056616, Drift Rate -0.000000, index 424424
Top hit found! SNR 16.040277, Drift Rate -0.000000, index 479409
Top hit found! SNR 129.560715, Drift Rate -0.172197, index 524282
Top hit found! SNR 129.768127, Drift Rate -0.105231, index 524283
Top hit found! SNR 129.582596, Drift Rate 0.181763, index 524294
Top hit found! SNR 130.274963, Drift Rate -0.000000, index 524289
Top hit found! SNR 131.349670, Drift Rate -0.000000, index 524287
Top hit found! SNR 134.146774, Drift Rate 0.095665, index 524291
Top hit found! SNR 295.216827, Drift Rate -0.296561, index 524277
Top hit found! SNR 135.608429, Drift Rate -0.229596, index 524279
Top hit found! SNR 134.922348, Drift Rate 0.181763, index 524295
Top hit found! SNR 135.982559, Drift Rate 0.086098, index 524292
Top hit found! SNR 136.088699, Drift Rate -0.392226, index 524274
Top hit found! SNR 138.717163, Drift Rate -0.000000, index 524289
Top hit found! SNR 10.150716, Drift Rate -0.000000, index 877643
Top hit found! SNR 137.257217, Drift Rate -0.248729, index 524278
Top hit found! SNR 137.888458, Drift Rate 0.401793, index 524303
Top hit found! SNR 136.546295, Drift Rate -0.181763, index 524281
Top hit found! SNR 136.046555, Drift Rate -0.086098, index 524286
Top hit found! SNR 138.717804, Drift Rate 0.334827, index 524300
Top hit found! SNR 16.883219, Drift Rate 0.009566, index 632428
Top hit found! SNR 33.134373, Drift Rate -0.057399, index 650889
Top hit found! SNR 138.791687, Drift Rate 0.286995, index 524299
Top hit found! SNR 42.707439, Drift Rate -0.000000, index 546728
Top hit found! SNR 11.835901, Drift Rate 0.047832, index 556428
Top hit found! SNR 139.089600, Drift Rate 0.200896, index 524295
Top hit found! SNR 137.757629, Drift Rate -0.200896, index 524281
Top hit found! SNR 30.280258, Drift Rate 0.009566, index 383933
Top hit found! SNR 136.677673, Drift Rate -0.325261, index 524276
Top hit found! SNR 134.719467, Drift Rate 0.066965, index 524290
Top hit found! SNR 273.482361, Drift Rate 0.325261, index 524300
Top hit found! SNR 138.119064, Drift Rate 0.191330, index 524295
Top hit found! SNR 138.663864, Drift Rate 0.210463, index 524296
Top hit found! SNR 137.504822, Drift Rate 0.191330, index 524295
Top hit found! SNR 136.335312, Drift Rate 0.229596, index 524297
Top hit found! SNR 137.006897, Drift Rate -0.105231, index 524283
Top hit found! SNR 136.071915, Drift Rate 0.076532, index 524292
Top hit found! SNR 138.820816, Drift Rate -0.191330, index 524281
Top hit found! SNR 138.135880, Drift Rate -0.258295, index 524279
Top hit found! SNR 140.721100, Drift Rate -0.105231, index 524283
Top hit found! SNR 140.382935, Drift Rate -0.277428, index 524278
Top hit found! SNR 81.366882, Drift Rate -0.000000, index 174098
Top hit found! SNR 43.898232, Drift Rate 0.047832, index 175700
Top hit found! SNR 140.394989, Drift Rate 0.028699, index 524288
Top hit found! SNR 142.561081, Drift Rate -0.277428, index 524278
Top hit found! SNR 144.409592, Drift Rate -0.382660, index 524274
Top hit found! SNR 144.814880, Drift Rate 0.124364, index 524293
Top hit found! SNR 144.549072, Drift Rate -0.200896, index 524281
Top hit found! SNR 171.761154, Drift Rate -0.000000, index 524287
Top hit found! SNR 142.527954, Drift Rate 0.076532, index 524290
Top hit found! SNR 20.810289, Drift Rate 0.009566, index 290194
Top hit found! SNR 13.758849, Drift Rate 0.019133, index 299891
Top hit found! SNR 143.326340, Drift Rate -0.028699, index 524286
Top hit found! SNR 142.266342, Drift Rate -0.105231, index 524285
Top hit found! SNR 141.008652, Drift Rate 0.306128, index 524299
Top hit found! SNR 139.322922, Drift Rate -0.028699, index 524288
Top hit found! SNR 136.994171, Drift Rate 0.009566, index 524287
Top hit found! SNR 136.296906, Drift Rate -0.296561, index 524277
Top hit found! SNR 136.286621, Drift Rate 0.239162, index 524297
Top hit found! SNR 133.136337, Drift Rate 0.086098, index 524290
Top hit found! SNR 126.853050, Drift Rate 0.411359, index 524303
Top hit found! SNR 13.344069, Drift Rate 0.009566, index 387808
Top hit found! SNR 13.153571, Drift Rate -0.009566, index 405981
Top hit found! SNR 116.518532, Drift Rate 0.382660, index 524302
Top hit found! SNR 93.991112, Drift Rate -0.095665, index 524285
Top hit found! SNR 62.899315, Drift Rate -0.258295, index 524279
Top hit found! SNR 34.180286, Drift Rate 0.095665, index 524293
Top hit found! SNR 16.256479, Drift Rate -0.181763, index 524281
Top hit found! SNR 113.710632, Drift Rate 0.009566, index 480924
Top hit found! SNR 18.138950, Drift Rate 0.066965, index 831906
Top hit found! SNR 21.035570, Drift Rate 0.076532, index 133208
Top hit found! SNR 36.998356, Drift Rate -0.000000, index 566231
Top hit found! SNR 20.166706, Drift Rate 0.105231, index 683086
Top hit found! SNR 50.526695, Drift Rate 0.076532, index 832963
Top hit found! SNR 5116.643555, Drift Rate -0.000000, index 104858
Top hit found! SNR 41.589397, Drift Rate 0.076532, index 484142
Top hit found! SNR 40.523045, Drift Rate 0.095665, index 315076
Top hit found! SNR 25.535183, Drift Rate 0.066965, index 135320
Top hit found! SNR 31.030621, Drift Rate -0.000000, index 569167
Top hit found! SNR 827.594238, Drift Rate -0.000000, index 244668
Top hit found! SNR 21.907969, Drift Rate 0.066965, index 835604
Top hit found! SNR 14.004393, Drift Rate -0.000000, index 651919
Top hit found! SNR 43.919849, Drift Rate 0.086098, index 995642
Top hit found! SNR 10.349956, Drift Rate 0.028699, index 534851
Top hit found! SNR 11.042726, Drift Rate -0.000000, index 555115
Top hit found! SNR 22.373224, Drift Rate -0.000000, index 560052
Top hit found! SNR 11.887512, Drift Rate -0.000000, index 564989
Top hit found! SNR 20.057777, Drift Rate -0.000000, index 572394
Top hit found! SNR 25.421389, Drift Rate -0.000000, index 577331
Top hit found! SNR 22.026188, Drift Rate -0.000000, index 579049
Top hit found! SNR 373.767334, Drift Rate 0.009566, index 582268
Top hit found! SNR 33.017574, Drift Rate -0.000000, index 585486
Top hit found! SNR 39.450020, Drift Rate -0.000000, index 587204
Top hit found! SNR 56.310986, Drift Rate -0.000000, index 592141
Top hit found! SNR 19.126795, Drift Rate -0.000000, index 597078
Top hit found! SNR 11.172548, Drift Rate -0.000000, index 602015
Top hit found! SNR 410.476318, Drift Rate -0.000000, index 116617
Top hit found! SNR 276.248199, Drift Rate -0.000000, index 170287
Top hit found! SNR 27.910515, Drift Rate -0.019133, index 336641
Top hit found! SNR 14.128320, Drift Rate 2.841248, index 470715
Top hit found! SNR 21.719830, Drift Rate -1.884598, index 472666
Top hit found! SNR 14.232550, Drift Rate -7.901920, index 481125
Top hit found! SNR 15.228966, Drift Rate -8.820304, index 483959
Top hit found! SNR 17.491825, Drift Rate -6.686976, index 488094
Top hit found! SNR 16.651688, Drift Rate -4.276221, index 563833
Top hit found! SNR 12.142762, Drift Rate 0.095665, index 627633
Top hit found! SNR 12.961539, Drift Rate -8.829870, index 650006
Top hit found! SNR 12.845612, Drift Rate 6.744375, index 653927
Top hit found! SNR 10.755374, Drift Rate -9.987415, index 665394
Top hit found! SNR 12.543614, Drift Rate 3.042144, index 668663
Top hit found! SNR 15.458279, Drift Rate 6.753942, index 682030
Top hit found! SNR 16.310072, Drift Rate -3.510902, index 696344
Top hit found! SNR 13.857329, Drift Rate -7.107902, index 723916
Top hit found! SNR 25.421602, Drift Rate 3.864862, index 757899
Top hit found! SNR 25.961525, Drift Rate 5.261569, index 787441
Top hit found! SNR 10.975635, Drift Rate -5.921657, index 815705
Top hit found! SNR 17.286734, Drift Rate 6.007756, index 834629
Top hit found! SNR 14.666251, Drift Rate -7.787123, index 863444
Top hit found! SNR 18.103210, Drift Rate -7.882788, index 875500
Top hit found! SNR 19.781981, Drift Rate -5.778160, index 891897
Top hit found! SNR 10.351218, Drift Rate -0.411359, index 936523
Top hit found! SNR 11.497855, Drift Rate -9.729120, index 997502
Top hit found! SNR 29.992111, Drift Rate -9.996982, index 999712
Top hit found! SNR 18.203505, Drift Rate 3.520468, index 1006095
Top hit found! SNR 12.287128, Drift Rate -0.813152, index 39952
Top hit found! SNR 33.649265, Drift Rate -9.135998, index 57665
Top hit found! SNR 15.038116, Drift Rate -6.323450, index 60667
Top hit found! SNR 14.541083, Drift Rate -9.843918, index 287403
Top hit found! SNR 14.784162, Drift Rate -5.118072, index 306865
Top hit found! SNR 14.041867, Drift Rate -3.080410, index 309280
Top hit found! SNR 32.326138, Drift Rate 8.428078, index 314657
Top hit found! SNR 14.001599, Drift Rate 5.940790, index 320330
Top hit found! SNR 11.638330, Drift Rate 1.281910, index 326621
Top hit found! SNR 16.102491, Drift Rate -9.394293, index 335320
Top hit found! SNR 19.063383, Drift Rate -8.839437, index 339490
Top hit found! SNR 23.701395, Drift Rate -7.308798, index 342222
Top hit found! SNR 13.353853, Drift Rate -1.061880, index 350905
Top hit found! SNR 20.595098, Drift Rate 0.258295, index 354071
Top hit found! SNR 15.845639, Drift Rate 1.157545, index 356262
Top hit found! SNR 10.322538, Drift Rate -6.438248, index 369473
Top hit found! SNR 31.947580, Drift Rate 2.726449, index 386965
Top hit found! SNR 39.839657, Drift Rate 2.822114, index 389694
Top hit found! SNR 27.067228, Drift Rate -8.466344, index 395199
Top hit found! SNR 17.938234, Drift Rate 7.251399, index 399614
Top hit found! SNR 13.748076, Drift Rate 2.573386, index 401507
Top hit found! SNR 16.549738, Drift Rate -3.443936, index 410213
Top hit found! SNR 17.118202, Drift Rate 4.352753, index 412596
Top hit found! SNR 10.493236, Drift Rate 5.902524, index 415276
Top hit found! SNR 13.746810, Drift Rate -8.504609, index 557330
Top hit found! SNR 14.139358, Drift Rate 8.772471, index 627028
Top hit found! SNR 10.979753, Drift Rate 2.822114, index 656666
Top hit found! SNR 12.360650, Drift Rate 1.865466, index 866732
Top hit found! SNR 19.315599, Drift Rate -0.076532, index 135010
Top hit found! SNR 11.063429, Drift Rate -8.915969, index 361026
Top hit found! SNR 10.043487, Drift Rate 8.054984, index 362579
Top hit found! SNR 21.427101, Drift Rate -0.411359, index 373977
Top hit found! SNR 10.256157, Drift Rate -0.851418, index 405279
Top hit found! SNR 25.568861, Drift Rate 9.719554, index 411651
Top hit found! SNR 28.711992, Drift Rate -4.237955, index 425248
Top hit found! SNR 13.211089, Drift Rate 0.803585, index 436253
Top hit found! SNR 10.574080, Drift Rate 5.118072, index 504394
Top hit found! SNR 11.635498, Drift Rate 3.931827, index 519271
Top hit found! SNR 10.664251, Drift Rate -5.730327, index 538719
Top hit found! SNR 16.776747, Drift Rate 5.165905, index 582835
Top hit found! SNR 14.803360, Drift Rate -7.050503, index 610067
Top hit found! SNR 11.355145, Drift Rate -8.829870, index 613072
Top hit found! SNR 11.035425, Drift Rate 8.198482, index 631113
Top hit found! SNR 10.537560, Drift Rate -5.835559, index 656466
Top hit found! SNR 12.099404, Drift Rate -2.248125, index 688083
Top hit found! SNR 22.102104, Drift Rate 3.415237, index 702121
Top hit found! SNR 12.122123, Drift Rate 7.701024, index 718635
Top hit found! SNR 51.225807, Drift Rate 5.596396, index 732131
Top hit found! SNR 12.119226, Drift Rate 0.583556, index 734675
Top hit found! SNR 12.356758, Drift Rate 8.418511, index 744051
Top hit found! SNR 29.539572, Drift Rate -8.648107, index 791542
Top hit found! SNR 11.575424, Drift Rate 7.624492, index 806282
Top hit found! SNR 18.923695, Drift Rate -4.084891, index 845297
Top hit found! SNR 10.247724, Drift Rate -8.772471, index 850860
Top hit found! SNR 10.210175, Drift Rate -2.889080, index 852860
Top hit found! SNR 15.059245, Drift Rate -9.920450, index 897147
Top hit found! SNR 13.616506, Drift Rate -8.915969, index 100281
Top hit found! SNR 20.776571, Drift Rate -0.076532, index 130007
Top hit found! SNR 10.806117, Drift Rate 6.753942, index 175229
Top hit found! SNR 18.994781, Drift Rate -3.463069, index 204585
Top hit found! SNR 10.997133, Drift Rate -0.860984, index 873369
Top hit found! SNR 11.941157, Drift Rate -0.813152, index 875519
Top hit found! SNR 11.704700, Drift Rate -0.822718, index 878381
Top hit found! SNR 13.215969, Drift Rate -0.822718, index 881245
Top hit found! SNR 13.316867, Drift Rate -0.889684, index 883748
Top hit found! SNR 14.078099, Drift Rate -0.880117, index 888043
Top hit found! SNR 15.668344, Drift Rate -0.851418, index 893056
Top hit found! SNR 17.464092, Drift Rate -0.908817, index 898064
Top hit found! SNR 15.905784, Drift Rate -0.851418, index 902004
Top hit found! SNR 16.930365, Drift Rate -0.822718, index 903793
Top hit found! SNR 17.015707, Drift Rate -0.803585, index 905584
Top hit found! SNR 18.145964, Drift Rate -0.803585, index 909879
Top hit found! SNR 19.263294, Drift Rate -0.908817, index 912738
Top hit found! SNR 18.890491, Drift Rate -0.851418, index 915211
Top hit found! SNR 21.174053, Drift Rate -0.908817, index 917391
Top hit found! SNR 20.800068, Drift Rate -0.813152, index 921332
Top hit found! SNR 18.891050, Drift Rate -0.908817, index 923118
Top hit found! SNR 19.861284, Drift Rate -0.841851, index 927057
Top hit found! SNR 22.867243, Drift Rate -0.813152, index 929922
Top hit found! SNR 22.010338, Drift Rate -0.803585, index 934575
Top hit found! SNR 19.631300, Drift Rate -0.822718, index 936721
Top hit found! SNR 19.538370, Drift Rate -0.870551, index 940657
Top hit found! SNR 21.769234, Drift Rate -0.822718, index 946027
Top hit found! SNR 19.093899, Drift Rate -0.803585, index 947818
Top hit found! SNR 22.277853, Drift Rate -0.832285, index 949606
Top hit found! SNR 20.745205, Drift Rate -0.822718, index 952112
Top hit found! SNR 20.564297, Drift Rate -0.803585, index 954976
Top hit found! SNR 18.713886, Drift Rate -0.880117, index 959967
Top hit found! SNR 16.819027, Drift Rate -0.822718, index 962491
Top hit found! SNR 17.074574, Drift Rate -0.832285, index 964638
Top hit found! SNR 18.124422, Drift Rate -0.803585, index 967503
Top hit found! SNR 17.390537, Drift Rate -0.841851, index 970007
Top hit found! SNR 15.917926, Drift Rate -0.841851, index 973586
Top hit found! SNR 15.534584, Drift Rate -0.822718, index 975734
Top hit found! SNR 15.384264, Drift Rate -0.832285, index 977881
Top hit found! SNR 14.448857, Drift Rate -0.889684, index 985038
Top hit found! SNR 13.229536, Drift Rate -0.803585, index 988978
Top hit found! SNR 10.619245, Drift Rate -0.889684, index 992554
Top hit found! SNR 58.582344, Drift Rate -0.602689, index 315535
Top hit found! SNR 11.055387, Drift Rate -0.373093, index 578441
Top hit found! SNR 11.864185, Drift Rate -0.353960, index 580913
Top hit found! SNR 14.261917, Drift Rate -0.353960, index 585601
Top hit found! SNR 16.806683, Drift Rate -0.382660, index 589859
Top hit found! SNR 21.270765, Drift Rate -0.353960, index 595587
Top hit found! SNR 21.796347, Drift Rate -0.382660, index 598091
Top hit found! SNR 26.317377, Drift Rate -0.382660, index 600274
Top hit found! SNR 28.894136, Drift Rate -0.382660, index 605607
Top hit found! SNR 31.262964, Drift Rate -0.382660, index 609902
Top hit found! SNR 35.208416, Drift Rate -0.373093, index 613159
Top hit found! SNR 34.839729, Drift Rate -0.353960, index 615666
Top hit found! SNR 40.576843, Drift Rate -0.382660, index 618134
Top hit found! SNR 43.744755, Drift Rate -0.353960, index 623540
Top hit found! SNR 50.170429, Drift Rate -0.382660, index 626724
Top hit found! SNR 54.246964, Drift Rate -0.373093, index 629981
Top hit found! SNR 55.771458, Drift Rate -0.373093, index 634276
Top hit found! SNR 63.300568, Drift Rate -0.373093, index 637855
Top hit found! SNR 59.606178, Drift Rate -0.353960, index 640362
Top hit found! SNR 71.329338, Drift Rate -0.382660, index 643904
Top hit found! SNR 66.933678, Drift Rate -0.382660, index 647125
Top hit found! SNR 75.271164, Drift Rate -0.353960, index 649668
Top hit found! SNR 72.454880, Drift Rate -0.382660, index 651778
Top hit found! SNR 88.187721, Drift Rate -0.373093, index 654677
Top hit found! SNR 77.760529, Drift Rate -0.373093, index 658614
Top hit found! SNR 84.828293, Drift Rate -0.382660, index 660726
Top hit found! SNR 81.454285, Drift Rate -0.353960, index 662195
Top hit found! SNR 93.337959, Drift Rate -0.382660, index 664663
Top hit found! SNR 91.196693, Drift Rate -0.382660, index 667884
Top hit found! SNR 93.122963, Drift Rate -0.353960, index 669353
Top hit found! SNR 104.406311, Drift Rate -0.344394, index 671824
Top hit found! SNR 97.180496, Drift Rate -0.353960, index 674006
Top hit found! SNR 95.911972, Drift Rate -0.344394, index 676119
Top hit found! SNR 100.383690, Drift Rate -0.353960, index 677943
Top hit found! SNR 97.080956, Drift Rate -0.373093, index 679731
Top hit found! SNR 97.357307, Drift Rate -0.382660, index 681485
Top hit found! SNR 101.997162, Drift Rate -0.344394, index 683993
Top hit found! SNR 114.009338, Drift Rate -0.353960, index 686533
Top hit found! SNR 117.226746, Drift Rate -0.353960, index 691186
Top hit found! SNR 104.654198, Drift Rate -0.373093, index 693332
Top hit found! SNR 113.352097, Drift Rate -0.382660, index 698665
Top hit found! SNR 105.911171, Drift Rate -0.344394, index 700815
Top hit found! SNR 112.405457, Drift Rate -0.382660, index 702960
Top hit found! SNR 128.676895, Drift Rate -0.382660, index 706539
Top hit found! SNR 117.229614, Drift Rate -0.373093, index 708722
Top hit found! SNR 111.882248, Drift Rate -0.382660, index 710476
Top hit found! SNR 114.779938, Drift Rate -0.373093, index 713017
Top hit found! SNR 671.845459, Drift Rate -0.363527, index 716580
Top hit found! SNR 113.977119, Drift Rate -0.373093, index 721249
Top hit found! SNR 107.789604, Drift Rate -0.353960, index 724114
Top hit found! SNR 131.561249, Drift Rate -0.382660, index 726940
Top hit found! SNR 118.217552, Drift Rate -0.373093, index 730197
Top hit found! SNR 117.180603, Drift Rate -0.373093, index 734492
Top hit found! SNR 109.018616, Drift Rate -0.382660, index 739825
Top hit found! SNR 112.663857, Drift Rate -0.353960, index 741652
Top hit found! SNR 94.946190, Drift Rate -0.373093, index 743798
Top hit found! SNR 113.003380, Drift Rate -0.373093, index 746303
Top hit found! SNR 99.349258, Drift Rate -0.353960, index 749168
Top hit found! SNR 100.957832, Drift Rate -0.344394, index 755218
Top hit found! SNR 92.566902, Drift Rate -0.353960, index 757042
Top hit found! SNR 100.235504, Drift Rate -0.353960, index 758832
Top hit found! SNR 99.771027, Drift Rate -0.353960, index 761337
Top hit found! SNR 92.994713, Drift Rate -0.344394, index 763808
Top hit found! SNR 84.313728, Drift Rate -0.353960, index 765274
Top hit found! SNR 89.214203, Drift Rate -0.373093, index 768494
Top hit found! SNR 83.642365, Drift Rate -0.382660, index 772753
Top hit found! SNR 74.920898, Drift Rate -0.353960, index 774938
Top hit found! SNR 80.918320, Drift Rate -0.382660, index 778480
Top hit found! SNR 68.927109, Drift Rate -0.382660, index 780985
Top hit found! SNR 71.833977, Drift Rate -0.353960, index 783170
Top hit found! SNR 62.102699, Drift Rate -0.382660, index 786354
Top hit found! SNR 67.867569, Drift Rate -0.373093, index 789253
Top hit found! SNR 58.220547, Drift Rate -0.353960, index 792118
Top hit found! SNR 58.772205, Drift Rate -0.382660, index 795302
Top hit found! SNR 51.271969, Drift Rate -0.344394, index 801031
Top hit found! SNR 44.664776, Drift Rate -0.373093, index 806433
Top hit found! SNR 43.373543, Drift Rate -0.344394, index 809621
Top hit found! SNR 40.687668, Drift Rate -0.373093, index 812875
Top hit found! SNR 34.445202, Drift Rate -0.373093, index 817886
Top hit found! SNR 36.595181, Drift Rate -0.353960, index 820751
Top hit found! SNR 29.370232, Drift Rate -0.353960, index 823256
Top hit found! SNR 29.204676, Drift Rate -0.382660, index 826798
Top hit found! SNR 25.101591, Drift Rate -0.353960, index 832562
Top hit found! SNR 20.422235, Drift Rate -0.344394, index 837574
Top hit found! SNR 16.105505, Drift Rate -0.373093, index 843298
Top hit found! SNR 14.370313, Drift Rate -0.373093, index 846877
Top hit found! SNR 11.366396, Drift Rate -0.373093, index 852246
Top hit found! SNR 10.318598, Drift Rate -0.373093, index 854393
Top hit found! SNR 35.298603, Drift Rate -0.315694, index 271105
Top hit found! SNR 70.527046, Drift Rate -0.000000, index 384478
Top hit found! SNR 59.765392, Drift Rate 0.047832, index 394841
Top hit found! SNR 40.203606, Drift Rate 0.019133, index 396602
Top hit found! SNR 12.193791, Drift Rate 0.066965, index 443317
Top hit found! SNR 12.185859, Drift Rate -0.468758, index 19534
Top hit found! SNR 10.251945, Drift Rate -0.487891, index 22038
Top hit found! SNR 12.294413, Drift Rate -0.487891, index 25226
Top hit found! SNR 58.999901, Drift Rate -0.487891, index 29895
Top hit found! SNR 14.429602, Drift Rate -0.487891, index 34890
Top hit found! SNR 16.207039, Drift Rate -0.487891, index 37753
Top hit found! SNR 19.001961, Drift Rate -0.468758, index 39935
Top hit found! SNR 17.670918, Drift Rate -0.468758, index 43514
Top hit found! SNR 17.834431, Drift Rate -0.468758, index 45304
Top hit found! SNR 18.489424, Drift Rate -0.468758, index 47809
Top hit found! SNR 18.982359, Drift Rate -0.497457, index 53142
Top hit found! SNR 22.416088, Drift Rate -0.487891, index 55291
Top hit found! SNR 22.047377, Drift Rate -0.487891, index 59944
Top hit found! SNR 22.228817, Drift Rate -0.487891, index 62807
Top hit found! SNR 20.086740, Drift Rate -0.487891, index 66744
Top hit found! SNR 21.883377, Drift Rate -0.487891, index 68534
Top hit found! SNR 21.274088, Drift Rate -0.478325, index 70357
Top hit found! SNR 22.180943, Drift Rate -0.487891, index 72146
Top hit found! SNR 24.122583, Drift Rate -0.430492, index 74654
Top hit found! SNR 22.635422, Drift Rate -0.487891, index 77124
Top hit found! SNR 21.435076, Drift Rate -0.468758, index 78590
Top hit found! SNR 23.717621, Drift Rate -0.468758, index 81811
Top hit found! SNR 21.192070, Drift Rate -0.487891, index 84282
Top hit found! SNR 21.108784, Drift Rate -0.497457, index 86070
Top hit found! SNR 20.115765, Drift Rate -0.487891, index 88577
Top hit found! SNR 22.291771, Drift Rate -0.487891, index 91798
Top hit found! SNR 18.867691, Drift Rate -0.449625, index 94696
Top hit found! SNR 21.620626, Drift Rate -0.487891, index 96809
Top hit found! SNR 18.085787, Drift Rate -0.487891, index 100030
Top hit found! SNR 20.021118, Drift Rate -0.468758, index 102570
Top hit found! SNR 17.500309, Drift Rate -0.449625, index 106115
Top hit found! SNR 19.513790, Drift Rate -0.487891, index 108620
Top hit found! SNR 15.779812, Drift Rate -0.497457, index 112198
Top hit found! SNR 15.456293, Drift Rate -0.449625, index 114023
Top hit found! SNR 16.390160, Drift Rate -0.487891, index 116494
Top hit found! SNR 13.903484, Drift Rate -0.478325, index 119749
Top hit found! SNR 13.959239, Drift Rate -0.468758, index 122613
Top hit found! SNR 11.295438, Drift Rate -0.487891, index 130486
Top hit found! SNR 10.990917, Drift Rate -0.507024, index 133314
Top hit found! SNR 10.239903, Drift Rate -0.468758, index 136572
Top hit found! SNR 10.126347, Drift Rate -0.468758, index 138719
Top hit found! SNR 10.275182, Drift Rate -0.497457, index 140866
Top hit found! SNR 21.784698, Drift Rate -0.516590, index 809916
Top hit found! SNR 14.717781, Drift Rate -0.392226, index 910155
Top hit found! SNR 40.400906, Drift Rate -0.220029, index 278623
Top hit found! SNR 10.014906, Drift Rate -1.023614, index 468505
Top hit found! SNR 10.371973, Drift Rate -0.133931, index 489287
Top hit found! SNR 10.584629, Drift Rate -1.014048, index 506355
Top hit found! SNR 10.034328, Drift Rate -1.014048, index 530603
Top hit found! SNR 11.644199, Drift Rate -0.105231, index 543265
Top hit found! SNR 11.414514, Drift Rate -1.023614, index 547067
Top hit found! SNR 11.279843, Drift Rate -1.023614, index 570242
Top hit found! SNR 10.447837, Drift Rate -0.143497, index 578227
Top hit found! SNR 11.058964, Drift Rate -0.181763, index 584580
Top hit found! SNR 10.243733, Drift Rate -0.602689, index 588868
Top hit found! SNR 13.606815, Drift Rate -0.602689, index 631460
Top hit found! SNR 11.065478, Drift Rate -0.602689, index 667251
Top hit found! SNR 14.244007, Drift Rate -0.602689, index 673694
Top hit found! SNR 16.148233, Drift Rate -0.602689, index 676915
Top hit found! SNR 12.676373, Drift Rate -0.602689, index 682284
Top hit found! SNR 14.129037, Drift Rate -0.631388, index 689798
Top hit found! SNR 15.367754, Drift Rate -0.640955, index 695882
Top hit found! SNR 15.160193, Drift Rate -0.602689, index 699106
Top hit found! SNR 16.713999, Drift Rate -0.602689, index 701253
Top hit found! SNR 14.270105, Drift Rate -0.640955, index 712704
Top hit found! SNR 11.835190, Drift Rate -0.631388, index 723442
Top hit found! SNR 20.928022, Drift Rate -0.621822, index 727380
Top hit found! SNR 12.584403, Drift Rate -0.631388, index 730958
Top hit found! SNR 10.944227, Drift Rate -0.631388, index 733106
Top hit found! SNR 10.158634, Drift Rate -0.602689, index 734897
Top hit found! SNR 17.350002, Drift Rate -0.631388, index 740980
Top hit found! SNR 18.041327, Drift Rate -0.621822, index 744202
Top hit found! SNR 16.401131, Drift Rate -0.640955, index 746348
Top hit found! SNR 16.352942, Drift Rate -0.220029, index 751041
Top hit found! SNR 11.188259, Drift Rate -0.640955, index 753148
Top hit found! SNR 15.372314, Drift Rate -0.602689, index 755298
Top hit found! SNR 16.364595, Drift Rate -0.640955, index 762096
Top hit found! SNR 10.595831, Drift Rate -0.621822, index 763887
Top hit found! SNR 15.818488, Drift Rate -0.621822, index 768182
