,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
504,505,-9.958715,12.238931,1622.724155,639794,1622.728234,1622.720081,214,1752599,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,OFF_HD13908_504,on_table_1,2,0,0.0
505,506,8.772471,11.917273,1622.718648,641765,1622.722727,1622.714574,214,1752599,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,OFF_HD13908_504,on_table_1,0,0,0.0
4210,584,-3.683099,32.767963,1622.712107,644106,1622.716187,1622.708034,214,4996085,spliced_blc0x1x2x_guppi_59524_13383_OFF_HD13908_0018.rawspec.0000.h5,OFF_HD13908,59524.154895833337,2h18m14.4s,65d35m37.32s,18.253611,-2.793968,9.997000,292.057776,OFF_HD13908_504,on_table_2,,0,699.0000005811453
7967,494,-9.413425,14.241185,1622.704729,646747,1622.708808,1622.700655,214,11018734,spliced_blc0x1x2x_guppi_59524_14080_OFF_HD13908_0020.rawspec.0000.h5,OFF_HD13908,59524.162962962961,2h18m14.52s,65d35m36.24s,18.253611,-2.793968,9.997000,292.057776,OFF_HD13908_504,on_table_3,,0,1396.000000066124
526,527,-9.56649,23.520718,1621.673992,1015662,1621.678071,1621.669918,214,1752599,spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5,OFF_HD13908,59524.146805555552,2h18m14.472s,65d35m35.88s,18.253611,-2.793968,9.997000,292.057776,OFF_HD13908_526,on_table_1,2,0,0.0
4227,601,-5.519865,18.859007,1621.666837,1018223,1621.670916,1621.662763,214,4996085,spliced_blc0x1x2x_guppi_59524_13383_OFF_HD13908_0018.rawspec.0000.h5,OFF_HD13908,59524.154895833337,2h18m14.4s,65d35m37.32s,18.253611,-2.793968,9.997000,292.057776,OFF_HD13908_526,on_table_2,,0,699.0000005811453
7981,508,-6.419115,16.667217,1621.66516,1018823,1621.669239,1621.661087,214,11018734,spliced_blc0x1x2x_guppi_59524_14080_OFF_HD13908_0020.rawspec.0000.h5,OFF_HD13908,59524.162962962961,2h18m14.52s,65d35m36.24s,18.253611,-2.793968,9.997000,292.057776,OFF_HD13908_526,on_table_3,,0,1396.000000066124
