
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5933 deg>, 'src_raj': <Angle 2.30402 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14680555555, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5, max_drift=9.997, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 12.498873, Drift Rate -0.000000, index 703866
Top hit found! SNR 12.715603, Drift Rate -0.000000, index 835793
Top hit found! SNR 14836.906250, Drift Rate -0.000000, index 51061
Top hit found! SNR 306.064056, Drift Rate -0.000000, index 53531
Top hit found! SNR 36.159939, Drift Rate -0.009566, index 55511
Top hit found! SNR 20.986065, Drift Rate -0.000000, index 215965
Top hit found! SNR 18.042179, Drift Rate -0.000000, index 314905
Top hit found! SNR 19.440992, Drift Rate -0.000000, index 446832
Top hit found! SNR 10.129957, Drift Rate -0.000000, index 479809
Top hit found! SNR 380.242523, Drift Rate -0.086098, index 524281
Top hit found! SNR 14.649480, Drift Rate 0.009566, index 545773
Top hit found! SNR 14.042935, Drift Rate -0.000000, index 578754
Top hit found! SNR 11.541539, Drift Rate -0.000000, index 611736
Top hit found! SNR 1563.916992, Drift Rate -0.000000, index 710676
Top hit found! SNR 63.928429, Drift Rate -0.000000, index 713352
Top hit found! SNR 19.683290, Drift Rate 0.047832, index 715483
Top hit found! SNR 12.635303, Drift Rate -0.009566, index 733789
Top hit found! SNR 15.270417, Drift Rate -0.047832, index 735585
Top hit found! SNR 24.415194, Drift Rate -0.000000, index 842598
Top hit found! SNR 14.487116, Drift Rate -0.000000, index 875580
Top hit found! SNR 20.117380, Drift Rate -0.000000, index 974521
Top hit found! SNR 21.605478, Drift Rate -0.000000, index 57871
Top hit found! SNR 19.229189, Drift Rate -0.000000, index 156812
Top hit found! SNR 1990.166748, Drift Rate -0.000000, index 321715
Top hit found! SNR 31.288351, Drift Rate -0.000000, index 324521
Top hit found! SNR 10.149404, Drift Rate -0.000000, index 486619
Top hit found! SNR 371.896820, Drift Rate -0.000000, index 524289
Top hit found! SNR 47.439304, Drift Rate -0.000000, index 585560
Top hit found! SNR 23.336832, Drift Rate -0.000000, index 618541
Top hit found! SNR 41.871960, Drift Rate -0.000000, index 651523
Top hit found! SNR 49.755680, Drift Rate -0.000000, index 717486
Top hit found! SNR 14.806956, Drift Rate -0.000000, index 816427
Top hit found! SNR 20.746906, Drift Rate 0.009566, index 849409
Top hit found! SNR 10.028641, Drift Rate -0.000000, index 882390
Top hit found! SNR 1127.995972, Drift Rate 0.009566, index 981331
Top hit found! SNR 80.198547, Drift Rate -0.000000, index 984336
Top hit found! SNR 255.999680, Drift Rate -0.000000, index 986893
Top hit found! SNR 12.115889, Drift Rate -0.000000, index 97658
Top hit found! SNR 16.578239, Drift Rate -0.000000, index 196599
Top hit found! SNR 25.383125, Drift Rate -0.000000, index 199685
Top hit found! SNR 19.766392, Drift Rate -0.000000, index 202310
Top hit found! SNR 19.169012, Drift Rate -0.000000, index 262562
Top hit found! SNR 14.458302, Drift Rate -0.000000, index 265668
Top hit found! SNR 99.646355, Drift Rate -0.000000, index 290612
Top hit found! SNR 18.209856, Drift Rate -0.000000, index 328525
Top hit found! SNR 29.499489, Drift Rate -0.000000, index 331651
Top hit found! SNR 20.018892, Drift Rate -0.000000, index 334311
Top hit found! SNR 19.199984, Drift Rate -0.000000, index 427466
Top hit found! SNR 17.316477, Drift Rate -0.000000, index 463614
Top hit found! SNR 353.303284, Drift Rate 0.124364, index 524297
Top hit found! SNR 1168.232788, Drift Rate -0.000000, index 592370
Top hit found! SNR 341.899078, Drift Rate -0.000000, index 595576
Top hit found! SNR 73.393456, Drift Rate -0.000000, index 598303
Top hit found! SNR 11.779050, Drift Rate -0.000000, index 727538
Top hit found! SNR 16.862450, Drift Rate -0.000000, index 757273
Top hit found! SNR 12.828413, Drift Rate -0.000000, index 775946
Top hit found! SNR 107.582001, Drift Rate -0.000000, index 856214
Top hit found! SNR 17.019680, Drift Rate -0.000000, index 862296
Top hit found! SNR 18.138523, Drift Rate -0.000000, index 889195
Top hit found! SNR 52.817966, Drift Rate -0.000000, index 922177
Top hit found! SNR 18.438847, Drift Rate -0.000000, index 955159
Top hit found! SNR 28.330185, Drift Rate 0.009566, index 981331
Top hit found! SNR 40.139931, Drift Rate -0.000000, index 988140
Top hit found! SNR 174.465530, Drift Rate 0.009566, index 1022921
Top hit found! SNR 12.432763, Drift Rate -0.000000, index 38505
Top hit found! SNR 17.491913, Drift Rate -0.000000, index 71487
Top hit found! SNR 1632.447266, Drift Rate -0.000000, index 203409
Top hit found! SNR 355.546082, Drift Rate -0.000000, index 206908
Top hit found! SNR 418.018616, Drift Rate -0.000000, index 209713
Top hit found! SNR 19.939342, Drift Rate -0.000000, index 335331
Top hit found! SNR 10.098394, Drift Rate -0.000000, index 467253
Top hit found! SNR 14.676961, Drift Rate -0.000000, index 469453
Top hit found! SNR 11.342920, Drift Rate -0.000000, index 481694
Top hit found! SNR 15.055131, Drift Rate -0.000000, index 485631
Top hit found! SNR 10.198011, Drift Rate -0.000000, index 487993
Top hit found! SNR 10.517836, Drift Rate -0.000000, index 491644
Top hit found! SNR 15.708966, Drift Rate -0.000000, index 497084
Top hit found! SNR 11.566294, Drift Rate -0.000000, index 502095
Top hit found! SNR 14.156260, Drift Rate -0.000000, index 503813
Top hit found! SNR 333.398315, Drift Rate 0.009566, index 524290
Top hit found! SNR 14.708522, Drift Rate -0.000000, index 602802
Top hit found! SNR 489.297791, Drift Rate -0.000000, index 863024
Top hit found! SNR 164.397476, Drift Rate -0.000000, index 866729
Top hit found! SNR 10.269754, Drift Rate -0.000000, index 869699
Top hit found! SNR 41.556328, Drift Rate 0.009566, index 1022921
Top hit found! SNR 11.660178, Drift Rate -0.000000, index 144255
Top hit found! SNR 24.441410, Drift Rate -0.000000, index 259744
Top hit found! SNR 17.546841, Drift Rate -0.000000, index 264182
Top hit found! SNR 11.773904, Drift Rate -0.000000, index 269193
Top hit found! SNR 17.357962, Drift Rate -0.000000, index 272772
Top hit found! SNR 35.362679, Drift Rate -0.000000, index 275850
Top hit found! SNR 15.768346, Drift Rate -0.000000, index 278284
Top hit found! SNR 18.966461, Drift Rate -0.000000, index 279787
Top hit found! SNR 13.688574, Drift Rate -0.000000, index 281720
Top hit found! SNR 32.338169, Drift Rate -0.000000, index 287375
Top hit found! SNR 28.308937, Drift Rate -0.000000, index 288878
Top hit found! SNR 13.600110, Drift Rate -0.000000, index 292386
Top hit found! SNR 19.579704, Drift Rate -0.000000, index 294104
Top hit found! SNR 102.556435, Drift Rate -0.000000, index 474063
Top hit found! SNR 36.096848, Drift Rate -0.000000, index 477974
Top hit found! SNR 17.746075, Drift Rate -0.000000, index 481109
Top hit found! SNR 311.371674, Drift Rate 0.019133, index 524289
Top hit found! SNR 13.182663, Drift Rate -0.000000, index 737907
Top hit found! SNR 13.280565, Drift Rate -0.000000, index 869834
Top hit found! SNR 719.153442, Drift Rate -0.000000, index 85102
Top hit found! SNR 40.735634, Drift Rate -0.000000, index 89219
Top hit found! SNR 11.681558, Drift Rate -0.000000, index 92519
Top hit found! SNR 16.085535, Drift Rate -0.009566, index 221071
Top hit found! SNR 17.183346, Drift Rate -0.000000, index 250006
Top hit found! SNR 83.080803, Drift Rate -0.000000, index 348946
Top hit found! SNR 22.938860, Drift Rate -0.000000, index 353034
Top hit found! SNR 30.878681, Drift Rate -0.000000, index 381928
Top hit found! SNR 45.503742, Drift Rate 0.009566, index 414910
Top hit found! SNR 15.973343, Drift Rate -0.000000, index 419017
Top hit found! SNR 26.801878, Drift Rate -0.000000, index 447891
Top hit found! SNR 10.113272, Drift Rate -0.000000, index 452121
Top hit found! SNR 89.677528, Drift Rate -0.000000, index 480873
Top hit found! SNR 29.605520, Drift Rate -0.000000, index 485001
Top hit found! SNR 292.639709, Drift Rate -0.000000, index 524287
Top hit found! SNR 30.702614, Drift Rate -0.000000, index 579813
Top hit found! SNR 33.291855, Drift Rate -0.000000, index 583971
Top hit found! SNR 14.528538, Drift Rate -0.000000, index 600749
Top hit found! SNR 116.701828, Drift Rate -0.000000, index 612795
Top hit found! SNR 38.840809, Drift Rate 0.009566, index 617077
Top hit found! SNR 10.141872, Drift Rate -0.000000, index 620509
Top hit found! SNR 16.970964, Drift Rate -0.000000, index 645777
Top hit found! SNR 989.195862, Drift Rate -0.000000, index 744717
Top hit found! SNR 458.164032, Drift Rate -0.000000, index 749040
Top hit found! SNR 200.868454, Drift Rate -0.000000, index 752505
Top hit found! SNR 50.025986, Drift Rate -0.000000, index 876639
Top hit found! SNR 23.798622, Drift Rate -0.000000, index 880887
Top hit found! SNR 26.376337, Drift Rate -0.000000, index 909621
Top hit found! SNR 21.067686, Drift Rate -0.000000, index 913879
Top hit found! SNR 11.899505, Drift Rate -0.000000, index 1012849
