
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14275462963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan/spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5, max_drift=22.515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 40.556789, Drift Rate -0.000000, index 268308
Top hit found! SNR 12.132909, Drift Rate -0.000000, index 271702
Top hit found! SNR 88.754517, Drift Rate -0.000000, index 301290
Top hit found! SNR 17.114510, Drift Rate 0.009566, index 304702
Top hit found! SNR 18.674212, Drift Rate -0.000000, index 334272
Top hit found! SNR 12.220774, Drift Rate -0.000000, index 367254
Top hit found! SNR 117.773682, Drift Rate -0.000000, index 433212
Top hit found! SNR 26.743635, Drift Rate -0.000000, index 466194
Top hit found! SNR 21.180359, Drift Rate -0.000000, index 499175
Top hit found! SNR 161.245972, Drift Rate -0.000000, index 524287
Top hit found! SNR 49.277267, Drift Rate -0.000000, index 532157
Top hit found! SNR 91.059784, Drift Rate -0.000000, index 565139
Top hit found! SNR 12.172777, Drift Rate -0.000000, index 598116
Top hit found! SNR 16.353943, Drift Rate -0.000000, index 631097
Top hit found! SNR 24.306055, Drift Rate -0.000000, index 697061
Top hit found! SNR 5619.589355, Drift Rate -0.000000, index 828983
Top hit found! SNR 1115.605225, Drift Rate -0.000000, index 51061
Top hit found! SNR 13.340112, Drift Rate -0.000000, index 112376
Top hit found! SNR 16.986055, Drift Rate -0.000000, index 178360
Top hit found! SNR 20.478460, Drift Rate -0.000000, index 275118
Top hit found! SNR 33.718384, Drift Rate -0.000000, index 310323
Top hit found! SNR 2323.721191, Drift Rate -0.000000, index 342535
Top hit found! SNR 9777.927734, Drift Rate -0.000000, index 440022
Top hit found! SNR 158.540970, Drift Rate -0.038266, index 524287
Top hit found! SNR 27.765491, Drift Rate -0.000000, index 571944
Top hit found! SNR 11.644343, Drift Rate -0.000000, index 604926
Top hit found! SNR 13.469104, Drift Rate -0.000000, index 703866
Top hit found! SNR 12.188293, Drift Rate -0.000000, index 835793
Top hit found! SNR 15638.343750, Drift Rate -0.000000, index 51061
Top hit found! SNR 20.788317, Drift Rate -0.000000, index 215965
Top hit found! SNR 18.045000, Drift Rate -0.000000, index 314905
Top hit found! SNR 18.974562, Drift Rate -0.000000, index 446832
Top hit found! SNR 10.633060, Drift Rate -0.000000, index 479809
Top hit found! SNR 159.669556, Drift Rate -0.038266, index 524287
Top hit found! SNR 15.090550, Drift Rate -0.000000, index 545772
Top hit found! SNR 15.889251, Drift Rate -0.000000, index 578754
Top hit found! SNR 11.021534, Drift Rate -0.000000, index 611736
Top hit found! SNR 1723.497437, Drift Rate -0.000000, index 710676
Top hit found! SNR 14.674088, Drift Rate -0.057399, index 735579
Top hit found! SNR 25.169111, Drift Rate -0.000000, index 842598
Top hit found! SNR 14.523065, Drift Rate -0.000000, index 875580
Top hit found! SNR 20.619579, Drift Rate -0.009566, index 974520
